"""%1"" does not implement %1","""%1"" ne implementira %1"
"%1 hours","%1 sati"
"%1 using Voucher, %2 direct.","%1 uz korištenje vaučera, %2 izravno."
"-- Please Select --","-- Molimo odaberite --"
"-- Use Default --","-- Koristi zadano --"
"1 hours","1 sat"
"<strong>Autodetect:</strong> Let Mollie detect the locale depending on the user. However, the locale from the current store view is used when using the Orders API for the used payment method.<br>
<strong>Store Locale</strong>: Use the locale active in the current store or fall back to English if this can't be determined.","<strong>Automatsko prepoznavanje:</strong> Dopusti Mollieju da prepozna lokalizaciju prema korisniku. Ipak, koristi se lokalizacija trenutačnog prikaza trgovine ako se koristi Orders API za metodu plaćanja.<br> <strong>Lokalizacija trgovine</strong>: Koristi aktivnu lokalizaciju u trenutačnoj trgovini ili se vrati na engleski ako ju nije moguće odrediti."
"<strong>Description:</strong> Order #%order_id from %store_name","<strong>Opis:</strong> Narudžba #%order_id iz %store_name"
"<strong>Optional:</strong> Comma-separated list of email addresses. Leave empty to disable.","<strong>Opcionalno:</strong> Popis email adresa razdvojen zarezom. Ostavite prazno za onemogućavanje."
"A Timeout while connecting to %1 occurred, this could be the result of an outage. Please try again or select another payment method.","Pri povezivanju s %1 došlo je do isteka vremena; to može biti posljedica prekida u radu usluge. Pokušajte ponovno ili odaberite drugi način plaćanja."
"API Details","Detalji API-ja"
"Activating this option allows you to place the Apple Pay button directly on the product detail pages for a faster checkout.","Aktiviranjem ove opcije možete postaviti gumb Apple Pay izravno na stranice s detaljima proizvoda za bržu naplatu."
"Add Link to Payment Details","Dodaj Poveznicu za Detalje Plaćanja"
"Add money","Dodaj novac"
"Add reference column to transactions grid","Dodaj stupac reference u mrežu transakcija"
"Advanced","Napredno"
"Advanced: PWA storefront integration","Napredno: PWA integracija"
"Allow orders to be marked as paid manually?","Dopustiti ručno označavanje narudžbi kao plaćenih?"
"Alma","Alma"
"Api key not found","API ključ nije pronađen"
"ApiKeyFallback with id ""%1"" does not exist.","ApiKeyFallback s ID-jem ""%1"" ne postoji"
"Apple Pay","Apple Pay"
"Apple Pay Direct","Apple Pay Direct"
"Are you sure you want to delete selected items?","Jeste li sigurni da želite izbrisati odabrane stavke?"
"Are you sure you want to do this? This will cancel the current order and create a new one that is marked as payed.","Jeste li sigurni da to želite učiniti? Ovo će otkazati trenutnu narudžbu i kreirati novu koja će biti označena kao plaćena."
"Autodetect","Automatsko prepoznavanje"
"Automatic","Automatski"
"Automatically Send Second Chance Emails","Automatski šaljite emailove za drugu priliku"
"Bancomat Pay","Bancomat Pay"
"Bancontact","Bancontact"
"Banktransfer","Bankovna doznaka"
"Belfius","Belfius"
"Billie","Billie"
"Bizum","Bizum"
"Black","Crna"
"Blik","Blik"
"Book","Knjiga"
"Branding","Brendiranje"
"Buy","Kupi"
"Buy Now Button Style","Stil gumba 'Kupi odmah'"
"Buy Now Button Type","Tip gumba 'Kupi odmah'"
"CVC/CVV","CVC/CVV"
"Cancel order when connection fails","Otkazivanje narudžbe ako dođe do prekida veze"
"Canceled because an error occurred while redirecting the customer to Mollie","Otkazano jer je došlo do pogreške prilikom preusmjeravanja kupca na Mollie"
"Capture for order %1","Naplaćeno za narudžbu %1"
"Capture method","Metoda naplate"
"Card Number","Broj kartice"
