"Check last 100 debug log records","Tjek de sidste 100 fejllinjer"
"Run Self-test","Kør selvtest"
"Check for latest versions","Tjek for nyeste versioner"
"Test Apikey","Test API-nøgle"
"Self Test","Selvtest"
"Payment Fee","Betalingsgebyr"
"The latest status from Mollie has been retrieved","Den seneste status fra Mollie er hentet"
"We cancelled order %1, created this order and marked it as complete.","Vi har annulleret ordre %1, oprettet denne ordre og markeret den som færdiggjort."
"Warning: We recommend to install the Mollie extension using Composer, currently it's installed in the app/code folder.","Advarsel: Vi anbefaler at installere Mollie-udvidelsen ved hjælp af Composer, i øjeblikket er den installeret i app/code mappen."
"The payment reminder email was successfully send","E-mail med betalingspåmindelse blev sendt"
"Log is empty","Loggen er tom"
"The payment reminder has been removed","Betalingspåmindelsen er blevet fjernet"
"The selected payment reminders have been removed","De valgte betalingspåmindelser er blevet fjernet"
"Pending Payment Reminders","Ventende betalingspåmindelser"
"The payment reminder for order #%1 has been sent","Betalingspåmindelsen for ordre #%1 er sendt"
"The payment reminder for %1 order(s) has been sent","Betalingspåmindelsen for %1 ordre(r) er sendt"
"Sent Payment Reminders","Sendte betalingspåmindelser"
"Invalid return, missing order id.","Ugyldig retur, mangler ordre-id."
"Invalid return from Mollie.","Ugyldig retur fra Mollie."
"There was an error checking the transaction status.","Der opstod en fejl ved kontrol af transaktionsstatus."
"Transaction failed. Please verify your billing information and payment method, and try again.","Transaktionen mislykkedes. Kontroller venligst dine faktureringsoplysninger og betalingsmetode, og prøv igen."
"Payment canceled, please try again.","Betaling annulleret, venligst prøv igen."
"Payment of type %1 has been rejected. Decision is based on order and outcome of risk assessment.","Betaling af typen %1 er blevet afvist. Beslutningen er baseret på ordre og resultatet af risikovurderingen."
"Payment Method not found","Betalingsmetode er ikke fundet"
"Canceled because an error occurred while redirecting the customer to Mollie","Annulleret, fordi der opstod en fejltagelse ved omdirigering af kunden til Mollie"
"A Timeout while connecting to %1 occurred, this could be the result of an outage. Please try again or select another payment method.","Der opstod en timeout ved tilslutning til %1, dette kan skyldes et nedbrud. Prøv venligst igen eller vælg en anden betalingsmetode."
"The required payment token is not available","Den nødvendige betalingstoken er ikke tilgængelig"
"The payment token %1 does not exists","Betalingstoken %1 findes ikke"
"Payment cancelled, please try again.","Betalingen blev annulleret, prøv venligst igen."
"The field ""payment_token"" is required for this request","Feltet ""payment_token"" er påkrævet for denne anmodning"
"Mollie API client for PHP is not installed, for more information about this issue see our %1 page.","Mollie API-klienten til PHP er ikke installeret, for mere information om dette problem, se vores %1 side."
"Mollie API client for PHP is not installed, for more information about this issue see: %1","Mollie API-klienten til PHP er ikke installeret, for mere information om dette problem se: %1"
"The order was canceled","Ordren blev annulleret"
"The order was canceled, reason: payment %1","Ordren blev annulleret, årsag: betaling %1"
"Test API-key: Empty value","Test API-nøgle: Tom værdi"
"Test API-key: Should start with ""test_""","Test API-nøgle: Bør starte med ""test_"""
"Enabled Methods: None, Please enable the payment methods in your Mollie dashboard.","Aktiverede metoder: Ingen, venligst aktiver betalingsmetoderne i dit Mollie-dashboard."
"Enabled Methods","Aktiverede metoder"
"Test API-key: Success!","Test API-nøgle: Succes!"
"Test API-key: %1","Test API-nøgle: %1"
"Live API-key: Empty value","Live API-nøgle: Tom værdi"
"Live API-key: Should start with ""live_""","Live API-nøgle: Skal starte med ""live_"""
"Enabled Methods: %1","Aktiverede metoder: %1"
"Live API-key: Success!","Live API-nøgle: Succes!"
"Live API-key: %1","Live API-nøgle: %1"
"Error: The client requires PHP version >= %1, you have %2.","Fejl: Klienten kræver PHP version >= %1, du har %2."
"Success: PHP version: %1.","Succes: PHP version: %1."
"Error: PHP extension JSON is not enabled.","Fejl: PHP-udvidelsen JSON er ikke aktiveret."
"Please make sure to enable ""json"" in your PHP configuration.","Sørg venligst for at aktivere ""json"" i din PHP-konfiguration."
"Success: JSON is enabled.","Succes: JSON er aktiveret."
"Error: Mollie CompatibilityChecker not found.","Fejl: Mollie CompatibilityChecker er ikke fundet."
"Warning: We recommend to use a unique payment status for pending Banktransfer payments","Advarsel: Vi anbefaler at bruge en unik betalingsstatus for ventende bankoverførselsbetalinger"
"Live","Live"
"Test","Test"
"External","Ekstern"
"Direct","Direkte"
"On Authorize","Ved autorisation"
"On Shipment","Ved forsendelse"
"Dropdown","Dropdown"
"List with images","Liste med billeder"
"Don't show issuer list","Vis ikke udstederliste"
"Autodetect","Automatisk detektering"
"Store Locale","Butikslokalisering"
"Payments API","Betalings API"
"Orders API","Ordre API"
"None","Ingen"
"First available Mollie method","Første tilgængelige Mollie-metode"
"No","Nej"
"Percentage","Procent"
"Fixed Fee","Fast gebyr"
"Fixed Fee and Percentage","Fast gebyr og procent"
"-- Use Default --","-- Brug standard --"
"Please select","Vælg venligst"
"1 hours","1 time"
"%1 hours","%1 timer"
"Meal","Måltid"
"Eco","Økologisk"
"Gift","Gave"
"Custom attribute","Brugerdefineret attribut"
"Enabled","Aktiveret"
"Custom URL","Brugerdefineret URL"
"Disabled","Deaktiveret"
"Customer redirected to Mollie","Kunde omdirigeret til Mollie"
"Created Mollie Checkout Url","Oprettet Mollie Checkout-URL"
"Currency does not match.","Valutaen stemmer ikke overens."
"Mollie: Order Amount %1, Captured Amount %2","Mollie: Ordremængde %1, Indsamlet mængde %2"
"New order email sent","Ny ordre e-mail sendt"
"Unable to send the new order email: %1","Kunne ikke sende den nye ordre e-mail: %1"
"Notified customer about invoice #%1","Informeret kunde om faktura #%1"
"Unable to send the invoice: %1","Kunne ikke sende fakturaen: %1"
"Transaction ID not found","Transaktions-ID ikke fundet"
"Api key not found","API-nøgle ikke fundet"
"Mollie (Order ID: %2): %1","Mollie (Ordre-ID: %2): %1"
"Class Mollie\Api\MollieApiClient does not exist","Klasse Mollie\Api\MollieApiClient findes ikke"
"Shipment already pushed to Mollie","Forsendelse allerede sendt til Mollie"
"All items in this order where already marked as shipped in the Mollie dashboard.","Alle varer i denne bestilling er allerede markeret som sendt i Mollie-dashboardet."
"Mollie API: %1","Mollie API: %1"
"Shipment ID not found","Forsendelses-ID ikke fundet"
"An offline refund has been created, please make sure to also create this refund on mollie.com/dashboard or use the online refund option.","En offline refusion er blevet oprettet, vær venlig også at oprette denne refusion på mollie.com/dashboard, eller brug online-refusionsmuligheden."
"Order can only be refunded after Klarna has been captured (after shipment)","Ordren kan kun refunderes efter Klarna er blevet indhentet (efter forsendelse)"
