"""%1"" does not implement %1","""%1"" implementerer ikke %1"
"%1 hours","%1 timer"
"%1 using Voucher, %2 direct.","%1 bruger voucher, %2 direkte."
"-- Please Select --","-- Vælg venligst --"
"-- Use Default --","-- Brug standard --"
"1 hours","1 time"
"30 days","30 dage"
"7 days","7 dage"
"<strong>Autodetect:</strong> Let Mollie detect the locale depending on the user. However, the locale from the current store view is used when using the Orders API for the used payment method.<br>
<strong>Store Locale</strong>: Use the locale active in the current store or fall back to English if this can't be determined.","<strong>Automatisk registrering:</strong> Lad Mollie registrere sprogindstillingen baseret på brugeren. Dog anvendes sprogindstillingen fra den aktuelle butiksvisning, når Orders API benyttes til betalingsmetoden.<br>
<strong>Butiksens sprogindstilling</strong>: Brug den aktive sprogindstilling i den aktuelle butik, eller fald tilbage til engelsk, hvis dette ikke kan bestemmes."
"<strong>Description:</strong> Order #%order_id from %store_name","<strong>Beskrivelse:</strong> Ordre #%order_id fra %store_name"
"<strong>Optional:</strong> Comma-separated list of email addresses. Leave empty to disable.","<strong>Valgfrit:</strong> Kommasepareret liste over e-mailadresser. Lad feltet stå tomt for at deaktivere."
"[TEST] An error occured","[TEST] Der opstod en fejl"
"A Timeout while connecting to %1 occurred, this could be the result of an outage. Please try again or select another payment method.","Der opstod en timeout ved tilslutning til %1, dette kan skyldes et nedbrud. Prøv venligst igen eller vælg en anden betalingsmetode."
"Actions","Handlinger"
"Activating this option allows you to place the Apple Pay button directly on the product detail pages for a faster checkout.","Aktivering af denne mulighed giver dig mulighed for at placere Apple Pay-knappen direkte på produktdetailsiderne for en hurtigere betaling."
"Active","Aktiv"
"Add cookie","Tilføj cookie"
"Add Link to Payment Details","Tilføj link til betalingsoplysninger"
"Add money","Tilføj penge"
"Add reference column to transactions grid","Tilføj referenckolonne til transaktionsoversigten"
"Advanced","Avanceret"
"Advanced: PWA storefront integration","Avanceret: PWA butik integration"
"Alias / query param","Alias / forespørgselsparameter"
"Allow orders to be marked as paid manually?","Tillad at ordrer markeres som betalt manuelt?"
"Alma","Alma"
"An authorized payment is a guaranteed amount, yet authorizations are generally not meant to remain open for a longer period. The exact allowed authorization for %1 is <strong>%2</strong>","En autoriseret betaling er et garanteret beløb, men autorisationer er generelt ikke beregnet til at forblive åbne i en længere periode. Den nøjagtige tilladte autorisationsperiode for %1 er <strong>%2</strong>"
"An authorized payment is a guaranteed amount, yet authorizations are generally not meant to remain open for a longer period. The exact allowed authorization window depends on the type of card your customer used.","En autoriseret betaling er et garanteret beløb, men autorisationer er generelt ikke beregnet til at forblive åbne i en længere periode. Det nøjagtige tilladte autorisationsvindue afhænger af korttypen, som din kunde benyttede."
