"Check last 100 debug log records","Ελέγξτε τις τελευταίες 100 εγγραφές του αρχείου εντοπισμού σφαλμάτων"
"Run Self-test","Εκτέλεση αυτοδιάγνωσης"
"Check for latest versions","Έλεγχος για τελευταίες εκδόσεις"
"Test Apikey","Δοκιμαστικό API key"
"Self Test","Αυτοδιάγνωση"
"Payment Fee","Χρέωση πληρωμής"
"The latest status from Mollie has been retrieved","Έχει ανακτηθεί η τελευταία κατάσταση από την Mollie"
"We cancelled order %1, created this order and marked it as complete.","Ακυρώσαμε την παραγγελία %1, δημιουργήσαμε αυτή την παραγγελία και την επισημάναμε ως ολοκληρωμένη."
"Warning: We recommend to install the Mollie extension using Composer, currently it's installed in the app/code folder.","Προειδοποίηση: Συνιστάται να εγκαταστήσετε την επέκταση Mollie χρησιμοποιώντας το Composer. Αυτή τη στιγμή είναι εγκατεστημένη στον φάκελο app/code."
"The payment reminder email was successfully send","Το email υπενθύμισης πληρωμής εστάλη επιτυχώς"
"Log is empty","Το αρχείο καταγραφής είναι κενό"
"The payment reminder has been removed","Η υπενθύμιση πληρωμής έχει αφαιρεθεί"
"The selected payment reminders have been removed","Οι επιλεγμένες υπενθυμίσεις πληρωμής έχουν αφαιρεθεί"
"Pending Payment Reminders","Υπενθυμίσεις πληρωμής σε εκκρεμότητα"
"The payment reminder for order #%1 has been sent","Η υπενθύμιση πληρωμής για την παραγγελία #%1 έχει σταλεί"
"The payment reminder for %1 order(s) has been sent","Η υπενθύμιση πληρωμής για %1 παραγγελία(ες) έχει σταλεί"
"Sent Payment Reminders","Απεσταλμένες Υπενθυμίσεις Πληρωμής"
"Invalid return, missing order id.","Μη έγκυρη επιστροφή, λείπει το αναγνωριστικό παραγγελίας."
"Invalid return from Mollie.","Μη έγκυρη επιστροφή από την Mollie."
"There was an error checking the transaction status.","Παρουσιάστηκε σφάλμα κατά τον έλεγχο της κατάστασης της συναλλαγής."
"Transaction failed. Please verify your billing information and payment method, and try again.","Η συναλλαγή απέτυχε. Παρακαλώ ελέγξτε τις πληροφορίες χρέωσης και τη μέθοδο πληρωμής σας και προσπαθήστε ξανά."
"Payment canceled, please try again.","Η πληρωμή ακυρώθηκε, παρακαλώ προσπαθήστε ξανά."
"Payment Method not found","Η μέθοδος πληρωμής δεν βρέθηκε"
"Canceled because an error occurred while redirecting the customer to Mollie","Ακυρώθηκε λόγω σφάλματος κατά την ανακατεύθυνση του πελάτη στην Mollie"
"A Timeout while connecting to %1 occurred, this could be the result of an outage. Please try again or select another payment method.","Προέκυψε χρόνος αναμονής κατά τη σύνδεση με το %1, αυτό μπορεί να είναι αποτέλεσμα κάποιας διακοπής. Παρακαλώ προσπαθήστε ξανά ή επιλέξτε άλλη μέθοδο πληρωμής."
"The required payment token is not available","Το απαιτούμενο αναγνωριστικό πληρωμής δεν είναι διαθέσιμο"
"The payment token %1 does not exists","Το token πληρωμής %1 δεν υπάρχει"
"Payment cancelled, please try again.","Η πληρωμή ακυρώθηκε, παρακαλώ προσπαθήστε ξανά."
"The field ""payment_token"" is required for this request","Το πεδίο ""token_πληρωμής"" είναι υποχρεωτικό για αυτό το αίτημα"
"Mollie API client for PHP is not installed, for more information about this issue see our %1 page.","Το Mollie API client για PHP δεν είναι εγκατεστημένο, για περισσότερες πληροφορίες σχετικά με αυτό το πρόβλημα δείτε τη σελίδα μας %1."
"Mollie API client for PHP is not installed, for more information about this issue see: %1","Το Mollie API client για PHP δεν είναι εγκατεστημένο, για περισσότερες πληροφορίες σχετικά με αυτό το πρόβλημα δείτε: %1"
"The order was canceled","Η παραγγελία ακυρώθηκε"
"The order was canceled, reason: payment %1","Η παραγγελία ακυρώθηκε, λόγος: πληρωμή %1"
"Test API-key: Empty value","Δοκιμαστικό API key: Κενή τιμή"
"Test API-key: Should start with ""test_""","Δοκιμαστικό API key: Πρέπει να αρχίζει με ""test_"""
"Enabled Methods: None, Please enable the payment methods in your Mollie dashboard.","Ενεργοποιημένες Μέθοδοι: Καμία, παρακαλώ ενεργοποιήστε τις μεθόδους πληρωμής μέσω του Mollie Dashboard."
"Enabled Methods","Ενεργοποιημένες Μέθοδοι"
"Test API-key: Success!","Δοκιμαστικό API key: Επιτυχία!"
"Test API-key: %1","Δοκιμαστικό API key: %1"
"Live API-key: Empty value","Ζωντανό API key: Κενή τιμή"
"Live API-key: Should start with ""live_""","Ζωντανό API key: Πρέπει να αρχίζει με ""live_"""
"Enabled Methods: %1","Ενεργοποιημένες μέθοδοι: %1"
"Live API-key: Success!","Ζωντανό API key: Επιτυχία!"
"Live API-key: %1","Ζωντανό API key: %1"
"Error: The client requires PHP version >= %1, you have %2.","Σφάλμα: Ο πελάτης απαιτεί PHP έκδοση >= %1, έχετε %2."
"Success: PHP version: %1.","Επιτυχία: Έκδοση PHP: %1."
"Error: PHP extension JSON is not enabled.","Σφάλμα: Η επέκταση PHP JSON δεν είναι ενεργοποιημένη."
"Please make sure to enable ""json"" in your PHP configuration.","Παρακαλώ βεβαιωθείτε ότι έχετε ενεργοποιήσει το ""json"" στην ρύθμιση PHP σας."
"Success: JSON is enabled.","Επιτυχία: Το JSON είναι ενεργοποιημένο."
"Error: Mollie CompatibilityChecker not found.","Σφάλμα: Ο ελεγκτής συμβατότητας Mollie δεν βρέθηκε."
"Warning: We recommend to use a unique payment status for pending Banktransfer payments","Προειδοποίηση: Συνιστούμε να χρησιμοποιείτε μια μοναδική κατάσταση πληρωμής για τις εκκρεμείς πληρωμές μέσω τραπεζικής μεταφοράς"
"Live","Ζωντανά"
"Test","Δοκιμή"
"External","Εξωτερικό"
"Direct","Άμεσο"
"On Authorize","Κατά την εξουσιοδότηση"
"On Shipment","Κατά την αποστολή"
"Dropdown","Αναπτυσσόμενη λίστα"
"List with images","Λίστα με εικόνες"
"Don't show issuer list","Μην εμφανίζετε τη λίστα εκδότη"
"Autodetect","Αυτόματη ανίχνευση"
"Store Locale","Γλώσσα καταστήματος"
"Payments API","API πληρωμών"
"Orders API","API παραγγελιών"
"None","Καμιά"
"First available Mollie method","Πρώτη διαθέσιμη μέθοδος Mollie"
"No","Όχι"
"Percentage","Ποσοστό"
"Fixed Fee","Σταθερή χρέωση"
"Fixed Fee and Percentage","Σταθερή χρέωση και ποσοστό"
"-- Use Default --","-- Χρήση προεπιλογής --"
"Please select","Παρακαλώ επιλέξτε"
"1 hours","1 ώρα"
"%1 hours","%1 ώρες"
"Meal","Γεύμα"
"Eco","Οικολογικό"
"Gift","Δώρο"
"Custom attribute","Προσαρμοσμένο χαρακτηριστικό"
"Enabled","Ενεργοποιημένο"
"Custom URL","Προσαρμοσμένο URL"
"Disabled","Απενεργοποιημένο"
"Customer redirected to Mollie","Ο πελάτης ανακατευθύνθηκε στη Mollie"
"Created Mollie Checkout Url","Δημιουργήθηκε διεύθυνση URL για Ταμείο Mollie"
"Currency does not match.","Αναντιστοιχία νομίσματος"
"Mollie: Order Amount %1, Captured Amount %2","Mollie: Ποσό παραγγελίας %1, Ποσό που δεσμεύτηκε %2"
"New order email sent","Απεστάλη email για νέα παραγγελία"
"Unable to send the new order email: %1","Αδυναμία αποστολής email για τη νέα παραγγελία: %1"
"Notified customer about invoice #%1","Ο πελάτης ενημερώθηκε σχετικά με την τιμολόγηση #%1"
"Unable to send the invoice: %1","Αδυναμία αποστολής τιμολογίου: %1"
"Transaction ID not found","Δε βρέθηκε το αναγνωριστικό συναλλαγής"
"Api key not found","Δεν βρέθηκε το API key"
"Mollie (Order ID: %2): %1","Mollie (Αναγνωριστικό παραγγελίας: %2): %1"
"Class Mollie\Api\MollieApiClient does not exist","Η κλάση Mollie\Api\MollieApiClient δεν υπάρχει"
"Shipment already pushed to Mollie","Η αποστολή έχει ήδη προωθηθεί στη Mollie"
"All items in this order where already marked as shipped in the Mollie dashboard.","Όλα τα αντικείμενα σε αυτή την παραγγελία έχουν ήδη σημειωθεί ως απεσταλμένα στο Mollie Dashboard."
"Mollie API: %1","Mollie API: %1"
"Shipment ID not found","Αναγνωριστικό αποστολής δεν βρέθηκε"
"An offline refund has been created, please make sure to also create this refund on mollie.com/dashboard or use the online refund option.","Έχετε δημιουργήσει μια διαδικασία επιστροφής χρημάτων εκτός σύνδεσης, παρακαλώ βεβαιωθείτε ότι θα δημιουργήσετε επίσης αυτή την επιστροφή στο mollie.com/dashboard ή χρησιμοποιήστε την επιλογή online επιστροφής χρημάτων."
"Order can only be refunded after Klarna has been captured (after shipment)","Επιστροφή του χρηματικού ποσού της παραγγελίας μπορεί να γίνει μόνο αφού το ποσό έχει δεσμευθεί από την Klarna (μετά την αποστολή)"
"Can not create online refund, as shipping costs do not match","Δεν είναι δυνατή η δημιουργία online επιστροφής χρημάτων, καθώς τα έξοδα αποστολής δεν αντιστοιχούν"
"Mollie: Captured %1, Settlement Amount %2","Mollie: Δεσμευμένο ποσό %1, Ποσό διακανονισμού %2"
"Order not found","Η παραγγελία δεν βρέθηκε"
"API Key not found","Το API key δεν βρέθηκε"
"Error: not possible to create an online refund: %1","Σφάλμα: δεν είναι δυνατή η δημιουργία online επιστροφής χρημάτων: %1"
