"Check last 100 debug log records","Check last 100 debug log records"
"Run Self-test","Run Self-test"
"Check for latest versions","Check for latest versions"
"Test Apikey","Test Apikey"
"Self Test","Self Test"
"Payment Fee","Payment Fee"
"The latest status from Mollie has been retrieved","The latest status from Mollie has been retrieved"
"We cancelled order %1, created this order and marked it as complete.","We cancelled order %1, created this order and marked it as complete."
"Warning: We recommend to install the Mollie extension using Composer, currently it's installed in the app/code folder.","Warning: We recommend to install the Mollie extension using Composer, currently it's installed in the app/code folder."
"The payment reminder email was successfully send","The payment reminder email was successfully send"
"Log is empty","Log is empty"
"The payment reminder has been removed","The payment reminder has been removed"
"The selected payment reminders have been removed","The selected payment reminders have been removed"
"Pending Payment Reminders","Pending Payment Reminders"
"The payment reminder for order #%1 has been sent","The payment reminder for order #%1 has been sent"
"The payment reminder for %1 order(s) has been sent","The payment reminder for %1 order(s) has been sent"
"Sent Payment Reminders","Sent Payment Reminders"
"Invalid return, missing order id.","Invalid return, missing order id."
"Invalid return from Mollie.","Invalid return from Mollie."
"There was an error checking the transaction status.","There was an error checking the transaction status."
"Transaction failed. Please verify your billing information and payment method, and try again.","Transaction failed. Please verify your billing information and payment method, and try again."
"Payment canceled, please try again.","Payment canceled, please try again."
"Payment Method not found","Payment Method not found"
"Canceled because an error occurred while redirecting the customer to Mollie","Canceled because an error occurred while redirecting the customer to Mollie"
"A Timeout while connecting to %1 occurred, this could be the result of an outage. Please try again or select another payment method.","A Timeout while connecting to %1 occurred, this could be the result of an outage. Please try again or select another payment method."
"The required payment token is not available","The required payment token is not available"
"The payment token %1 does not exists","The payment token %1 does not exists"
"Payment cancelled, please try again.","Payment cancelled, please try again."
"The field ""payment_token"" is required for this request","The field ""payment_token"" is required for this request"
"Mollie API client for PHP is not installed, for more information about this issue see our %1 page.","Mollie API client for PHP is not installed, for more information about this issue see our %1 page."
"Mollie API client for PHP is not installed, for more information about this issue see: %1","Mollie API client for PHP is not installed, for more information about this issue see: %1"
"The order was canceled","The order was canceled"
"The order was canceled, reason: payment %1","The order was canceled, reason: payment %1"
"Test API-key: Empty value","Test API-key: Empty value"
"Test API-key: Should start with ""test_""","Test API-key: Should start with ""test_"""
"Enabled Methods: None, Please enable the payment methods in your Mollie dashboard.","Enabled Methods: None, Please enable the payment methods in your Mollie dashboard."
"Enabled Methods","Enabled Methods"
"Test API-key: Success!","Test API-key: Success!"
"Test API-key: %1","Test API-key: %1"
"Live API-key: Empty value","Live API-key: Empty value"
"Live API-key: Should start with ""live_""","Live API-key: Should start with ""live_"""
"Enabled Methods: %1","Enabled Methods: %1"
"Live API-key: Success!","Live API-key: Success!"
"Live API-key: %1","Live API-key: %1"
"Error: The client requires PHP version >= %1, you have %2.","Error: The client requires PHP version >= %1, you have %2."
"Success: PHP version: %1.","Success: PHP version: %1."
"Error: PHP extension JSON is not enabled.","Error: PHP extension JSON is not enabled."
"Please make sure to enable ""json"" in your PHP configuration.","Please make sure to enable ""json"" in your PHP configuration."
"Success: JSON is enabled.","Success: JSON is enabled."
"Error: Mollie CompatibilityChecker not found.","Error: Mollie CompatibilityChecker not found."
"Warning: We recommend to use a unique payment status for pending Banktransfer payments","Warning: We recommend to use a unique payment status for pending Banktransfer payments"
"Live","Live"
"Test","Test"
"External","External"
"Direct","Direct"
"On Authorize","On Authorize"
"On Shipment","On Shipment"
"Dropdown","Dropdown"
"List with images","List with images"
"Don't show issuer list","Don't show issuer list"
"Autodetect","Autodetect"
