"Check last 100 debug log records","Revisar los últimos 100 logs de depuración"
"Run Self-test","Iniciar autodiagnóstico"
"Check for latest versions","Buscar la versión más reciente"
"Test Apikey","Probar clave API"
"Self Test","Autodiagnóstico"
"Payment Fee","Comisión de pago"
"The latest status from Mollie has been retrieved","Recuperado el último estado de Mollie"
"We cancelled order %1, created this order and marked it as complete.","Cancelamos el pedido %1, creamos este pedido y lo marcamos como completado."
"Warning: We recommend to install the Mollie extension using Composer, currently it's installed in the app/code folder.","Advertencia: se recomienda instalar la extensión de Mollie mediante Composer. Actualmente la extensión está en la carpeta app/code."
"The payment reminder email was successfully send","El correo recordatorio de pago se ha enviado correctamente"
"Log is empty","Registro vacío"
"The payment reminder has been removed","El recordatorio de pago ha sido eliminado"
"The selected payment reminders have been removed","Los recordatorios de pago seleccionados han sido eliminados"
"Pending Payment Reminders","Recordatorios de pago pendientes"
"The payment reminder for order #%1 has been sent","El recordatorio de pago para el pedido #%1 ha sido enviado"
"The payment reminder for %1 order(s) has been sent","El recordatorio de pago para %1 pedido(s) ha sido enviado"
"Sent Payment Reminders","Recordatorios de pago enviados"
"Invalid return, missing order id.","Devolución no válida, falta número de pedido."
"Invalid return from Mollie.","Devolución no válida de Mollie."
"There was an error checking the transaction status.","Se ha producido un error al revisar el estado de la transacción."
"Transaction failed. Please verify your billing information and payment method, and try again.","Transacción fallida. Por favor, verifica tu información de facturación y método de pago, e inténtalo de nuevo."
"Payment canceled, please try again.","Pago cancelado. Por favor, inténtalo de nuevo."
"Payment of type %1 has been rejected. Decision is based on order and outcome of risk assessment.","El pago del tipo %1 ha sido rechazado. La decisión se basa en el resultado de la evaluación de riesgos."
"Payment Method not found","Método de pago no encontrado"
"Canceled because an error occurred while redirecting the customer to Mollie","Cancelado: error al redirigir al cliente a Mollie"
"A Timeout while connecting to %1 occurred, this could be the result of an outage. Please try again or select another payment method.","Error de tiempo de espera al conectar con %1 por un posible fallo temporal en la conexión. Por favor, inténtalo de nuevo o selecciona otro método de pago."
"The required payment token is not available","El token de pago requerido no está disponible"
"The payment token %1 does not exists","El token de pago %1 no existe"
"Payment cancelled, please try again.","Pago cancelado, por favor inténtalo de nuevo."
