"""%1"" does not implement %1","""%1"" ei implementoi %1"
"%1 hours","%1 tunti"
"%1 using Voucher, %2 direct.","%1 käyttäen kuponkia, %2 suoraan."
"-- Please Select --","-- Valitse --"
"-- Use Default --","-- Käytä oletusta --"
"1 hours","1 tunti"
"30 days","30 päivää"
"7 days","7 päivää"
"<strong>Autodetect:</strong> Let Mollie detect the locale depending on the user. However, the locale from the current store view is used when using the Orders API for the used payment method.<br>
<strong>Store Locale</strong>: Use the locale active in the current store or fall back to English if this can't be determined.","<strong>Autodetect:</strong> Anna Mollien tunnistaa kieli automaattisesti käyttäjän mukaan. Kun käytetään Orders API:a, käytetään kuitenkin nykyisen kauppanäkymän kieliasetusta.<br>
<strong>Kaupan kieli</strong>: Käytä nykyisen kaupan aktiivista kieliasetusta tai vaihda englanniksi, jos kieltä ei voida määrittää."
"<strong>Description:</strong> Order #%order_id from %store_name","<strong>Kuvaus:</strong> Tilaus #%order_id kaupasta %store_name"
"<strong>Optional:</strong> Comma-separated list of email addresses. Leave empty to disable.","<strong>Valinnainen:</strong> Pilkuilla eroteltu lista sähköpostiosoitteista. Jätä tyhjäksi poistaaksesi käytöstä."
"[TEST] An error occured","[TEST] Tapahtui virhe"
"A Timeout while connecting to %1 occurred, this could be the result of an outage. Please try again or select another payment method.","Aikakatkaisu tapahtui yhdistettäessä %1, tämä voi olla seurausta häiriöstä. Yritä uudelleen tai valitse toinen maksutapa."
"Actions","Toiminnot"
"Activating this option allows you to place the Apple Pay button directly on the product detail pages for a faster checkout.","Tämän vaihtoehdon aktivoiminen mahdollistaa Apple Pay -painikkeen sijoittamisen suoraan tuotesivuille nopeampaa kassalle siirtymistä varten."
"Active","Aktiivinen"
"Add cookie","Lisää eväste"
"Add Link to Payment Details","Lisää linkki maksutietoihin"
"Add money","Lisää rahaa"
"Add reference column to transactions grid","Lisää viitekenttä tapahtumaruudukkoon"
"Advanced","Edistynyt"
"Advanced: PWA storefront integration","Edistynyt: PWA storefront -integraatio"
"Alias / query param","Alias / kyselyparametri"
"Allow orders to be marked as paid manually?","Sallitaanko tilausten merkitseminen maksetuksi manuaalisesti?"
"Alma","Alma"
"An authorized payment is a guaranteed amount, yet authorizations are generally not meant to remain open for a longer period. The exact allowed authorization for %1 is <strong>%2</strong>","Valtuutettu maksu on taattu summa, mutta valtuutuksia ei yleensä ole tarkoitettu pidettäväksi avoinna pitkään. Tarkka sallittu valtuutusaika kohteelle %1 on <strong>%2</strong>"
"An authorized payment is a guaranteed amount, yet authorizations are generally not meant to remain open for a longer period. The exact allowed authorization window depends on the type of card your customer used.","Valtuutettu maksu on taattu summa, mutta valtuutuksia ei yleensä ole tarkoitettu pidettäväksi avoinna pitkään. Tarkka sallittu valtuutusaika riippuu asiakkaan käyttämän kortin tyypistä."
"Anonymize debug requests","Anonymisoi virheenkorjauspyynnöt"
"API Details","API-tiedot"
"Api key not found","API-avainta ei löytynyt"
"ApiKeyFallback with id ""%1"" does not exist.","ApiKeyFallback, tunnisteella ""%1"", ei ole olemassa."
"Apple Pay","Apple Pay"
"Apple Pay Direct","Apple Pay Direct"
"Are you sure you want to delete selected items?","Oletko varma, että haluat poistaa valitut kohteet?"
"Are you sure you want to do this? This will cancel the current order and create a new one that is marked as payed.","Oletko varma, että haluat tehdä tämän? Tämä peruuttaa nykyisen tilauksen ja luo uuden, joka merkitään maksetuksi."
"Are you sure you want to remove this saved card?","Haluatko varmasti poistaa tämän tallennetun kortin?"
"Autocapture","Automaattinen veloitus"
"Autodetect","Automaattinen tunnistus"
"Automatically Send Second Chance Emails","Lähetä toisen mahdollisuuden sähköpostit automaattisesti"
"Bancomat Pay","Bancomat Pay"
"Bancontact","Bancontact"
"Banktransfer","Tilisiirto"
"Belfius","Belfius"
"Billie","Billie"
"Bizum","Bizum"
"Black","Musta"
"Blik","Blik"
"Book","Kirja"
"Branding","Brändäys"
"Buy","Osta"
"Buy Now Button Style","Osta nyt -painiketyyli"
"Buy Now Button Type","Osta nyt -painiketyyppi"
"Cancel order on checkout return","Peruuta tilaus kassalta palatessa"
"Cancel order when connection fails","Peruuta tilaus yhteysvirheen sattuessa"
"Canceled because an error occurred while redirecting the customer to Mollie","Peruutettu, koska asiakkaan ohjaamisessa Mollielle tapahtui virhe"
"Capture Before","Veloita ennen"
"Capture delay","Veloitusviive"
"Capture delay unit","Veloitusviiveen yksikkö"
"Capture expiration window","Veloituksen vanhentumisikkuna"
"Capture for order %1","Veloitus tilaukselle %1"
"Capture method","Veloitusmenetelmä"
"Card","Kortti"
"Card ending in %1","Kortti, jonka numero loppuu %1"
"Card Number","Korttinumero"
"Category","Kategoria"
"Check for latest versions","Tarkista uusimmat versiot"
"Check last 100 debug log records","Tarkista viimeiset 100 virheenjäljityslokimerkintää"
"Check out","Maksa"
"Checkout Type","Kassa tyyppi"
"Checkout Url","Kassa URL"
