"Check last 100 debug log records","Provjeri posljednjih 100 zapisa u zapisniku otklanjanja pogrešaka"
"Run Self-test","Pokreni samoprovjeru"
"Check for latest versions","Provjeri najnovije verzije"
"Test Apikey","Testiraj Apikey"
"Self Test","Samoprovjera"
"Payment Fee","Naknada za plaćanje"
"The latest status from Mollie has been retrieved","Preuzet je najnoviji status od Mollie"
"We cancelled order %1, created this order and marked it as complete.","Narudžba %1 je stornirana, nova je kreirana i označena kao dovršena."
"Warning: We recommend to install the Mollie extension using Composer, currently it's installed in the app/code folder.","Upozorenje: Preporučujemo da instalirate Mollie ekstenziju putem Composera. Trenutno je instalirana u mapi app/code. "
"The payment reminder email was successfully send","Podsjetnik za plaćanje uspješno je poslan e-poštom"
"Log is empty","Zapisnik je prazan"
"The payment reminder has been removed","Podsjetnik za plaćanje je uklonjen"
"The selected payment reminders have been removed","Odabrani podsjetnici za plaćanje su uklonjeni"
"Pending Payment Reminders","Podsjetnici za plaćanje na čekanju"
"The payment reminder for order #%1 has been sent","Podsjetnik za plaćanje za narudžbu #%1 je poslan"
"The payment reminder for %1 order(s) has been sent","Podsjetnik za plaćanje za %1 narudžbu(e) je poslan"
"Sent Payment Reminders","Poslani podsjetnici za plaćanje"
"Invalid return, missing order id.","Neispravan povrat, nedostaje ID narudžbe."
"Invalid return from Mollie.","Neispravan povrat od Mollie."
"There was an error checking the transaction status.","Došlo je do pogreške prilikom provjere statusa transakcije."
"Transaction failed. Please verify your billing information and payment method, and try again.","Transakcija je neuspjela. Provjerite podatke za naplatu i način plaćanja pa pokušajte ponovo."
"Payment canceled, please try again.","Plaćanje je otkazano, molimo pokušajte ponovo."
"Payment Method not found","Način plaćanja nije pronađen"
"Canceled because an error occurred while redirecting the customer to Mollie","Otkazano zbog pogreške prilikom preusmjeravanja korisnika na Mollie"
"A Timeout while connecting to %1 occurred, this could be the result of an outage. Please try again or select another payment method.","Došlo je do isteka vremena prilikom povezivanja s %1. Moguće da je došlo do prekida u radu usluge. Pokušajte ponovno ili odaberite drugi način plaćanja."
"The required payment token is not available","Potreban token za plaćanje nije dostupan"
"The payment token %1 does not exists","Token za plaćanje %1 ne postoji"
"Payment cancelled, please try again.","Plaćanje je otkazano. Pokušajte ponovo."
"The field ""payment_token"" is required for this request","Polje ""payment_token"" je obavezno za ovaj zahtjev"
"Mollie API client for PHP is not installed, for more information about this issue see our %1 page.","Mollie API klijent za PHP nije instaliran. Više informacija o ovom problemu potražite na stranici %1."
"Mollie API client for PHP is not installed, for more information about this issue see: %1","Mollie API klijent za PHP nije instaliran. Više informacija o ovom problemu pronađite na našoj stranici %1"
"The order was canceled","Narudžba je otkazana"
"The order was canceled, reason: payment %1","Narudžba je otkazana. Razlog: plaćanje %1"
"Test API-key: Empty value","Test API ključa: Prazna vrijednost"
"Test API-key: Should start with ""test_""","Test API ključa: Treba započeti s ""test_"""
"Enabled Methods: None, Please enable the payment methods in your Mollie dashboard.","Omogućene metode: nema. Molimo omogućite načine plaćanja u svom Mollie nadzornom sučelju."
"Enabled Methods","Omogućene metode"
"Test API-key: Success!","Test API ključa: Uspješno!"
"Test API-key: %1","Test API ključa: %1"
"Live API-key: Empty value","Live API ključ: Prazna vrijednost"
"Live API-key: Should start with ""live_""","Live API ključ: Treba započinjati s ""live_"""
"Enabled Methods: %1","Omogućene metode: %1"
"Live API-key: Success!","Live API ključ: Uspješno!"
"Live API-key: %1","Live API ključ: %1"
"Error: The client requires PHP version >= %1, you have %2.","Pogreška: Klijent zahtijeva PHP verziju >= %1, a ti imaš %2."
"Success: PHP version: %1.","Uspjeh: PHP verzija: %1."
"Error: PHP extension JSON is not enabled.","Pogreška: PHP ekstenzija JSON nije omogućena."
"Please make sure to enable ""json"" in your PHP configuration.","Provjerite je li ""json"" omogućen u vašoj PHP konfiguraciji."
"Success: JSON is enabled.","Uspjeh: JSON je omogućen."
"Error: Mollie CompatibilityChecker not found.","Pogreška: Mollie CompatibilityChecker nije pronađen."
"Warning: We recommend to use a unique payment status for pending Banktransfer payments","Upozorenje: Preporučujemo korištenje jedinstvenog statusa plaćanja za čekajuće bankovne transfere"
"Live","Aktivno"
"Test","Test"
"External","Vanjski"
"Direct","Izravno"
"On Authorize","Na autorizaciju"
"On Shipment","Prilikom otpreme"
"Dropdown","Izbornik"
"List with images","Popis s slikama"
"Don't show issuer list","Ne prikazuj popis izdavatelja"
"Autodetect","Automatsko prepoznavanje"
"Store Locale","Lokalizacija trgovine"
"Payments API","API za plaćanja"
"Orders API","API za narudžbe"
"None","Nema"
"First available Mollie method","Prva dostupna Mollie metoda"
"No","Ne"
"Percentage","Postotak"
"Fixed Fee","Fiksna naknada"
"Fixed Fee and Percentage","Fiksna naknada i postotak"
"-- Use Default --","-- Koristi zadano --"
"Please select","Odaberite"
"1 hours","1 sat"
"%1 hours","%1 sati"
"Meal","Obrok"
"Eco","Ekološki"
"Gift","Poklon"
"Custom attribute","Prilagođeni atribut"
"Enabled","Omogućeno"
"Custom URL","Prilagođeni URL"
"Disabled","Onemogućeno"
"Customer redirected to Mollie","Kupac je preusmjeren na Mollie"
"Created Mollie Checkout Url","Kreirana Mollie Checkout URL"
"Currency does not match.","Valuta se ne podudara."
"Mollie: Order Amount %1, Captured Amount %2","Mollie: Iznos narudžbe %1, Naplaćeni iznos %2"
"New order email sent","E-mail o novoj narudžbi je poslan"
"Unable to send the new order email: %1","Nije moguće poslati e-mail o novoj narudžbi: %1"
