"""%1"" does not implement %1","""%1"" nem valósítja meg %1"
"%1 hours","%1 óra"
"%1 using Voucher, %2 direct.","%1 Voucher használatával, %2 közvetlenül."
"-- Please Select --","-- Kérjük, válasszon --"
"-- Use Default --","-- Használja az alapértelmezettet --"
"1 hours","1 óra"
"30 days","30 nap"
"7 days","7 nap"
"<strong>Autodetect:</strong> Let Mollie detect the locale depending on the user. However, the locale from the current store view is used when using the Orders API for the used payment method.<br>
<strong>Store Locale</strong>: Use the locale active in the current store or fall back to English if this can't be determined.","<strong>Automatikus felismerés:</strong> Hagyja, hogy a Mollie a felhasználó alapján határozza meg a nyelvet. Az Orders API használatakor azonban az aktuális áruháznézet nyelvi beállítása kerül alkalmazásra a fizetési módhoz.<br>
<strong>Áruházi nyelv</strong>: Az aktuális áruházban beállított nyelvet használja, vagy angolra vált vissza, ha ez nem állapítható meg."
"<strong>Description:</strong> Order #%order_id from %store_name","<strong>Leírás:</strong> Rend. #%order_id a %store_name-tól"
"<strong>Optional:</strong> Comma-separated list of email addresses. Leave empty to disable.","<strong>Opcionális:</strong> Vesszővel elválasztott e-mail-cím lista. Hagyja üresen a letiltáshoz."
"[TEST] An error occured","[TESZT] Hiba történt"
"A Timeout while connecting to %1 occurred, this could be the result of an outage. Please try again or select another payment method.","Időtúllépés történt a %1-hez való csatlakozás során, ez lehet egy leállás eredménye. Kérjük, próbálja újra, vagy válasszon egy másik fizetési módot."
"Actions","Műveletek"
"Activating this option allows you to place the Apple Pay button directly on the product detail pages for a faster checkout.","Ennek az opciónak az aktiválásával az Apple Pay gombot közvetlenül a termékoldalakon helyezheti el a gyorsabb vásárlás érdekében."
"Active","Aktív"
"Add cookie","Cookie hozzáadása"
"Add Link to Payment Details","Link hozzáadása a fizetési részletekhez"
"Add money","Pénz hozzáadása"
"Add reference column to transactions grid","Referencia oszlop hozzáadása a tranzakciós rácshoz"
"Advanced","Haladó"
"Advanced: PWA storefront integration","Haladó: PWA bolt integráció"
"Alias / query param","Álnév / lekérdezési paraméter"
"Allow orders to be marked as paid manually?","Engedélyezi a rendelések manuális fizetettnek jelölését?"
"Alma","Alma"
"An authorized payment is a guaranteed amount, yet authorizations are generally not meant to remain open for a longer period. The exact allowed authorization for %1 is <strong>%2</strong>","Az engedélyezett fizetés garantált összeget jelent, de az engedélyek általában nem maradhatnak nyitva hosszabb ideig. A(z) %1 esetén az engedélyezés pontos érvényességi ideje: <strong>%2</strong>"
"An authorized payment is a guaranteed amount, yet authorizations are generally not meant to remain open for a longer period. The exact allowed authorization window depends on the type of card your customer used.","Az engedélyezett fizetés garantált összeget jelent, de az engedélyek általában nem maradhatnak nyitva hosszabb ideig. Az engedélyezési időszak pontos hossza az ügyfél által használt kártya típusától függ."
"Anonymize debug requests","Hibakeresési kérések anonimizálása"
"API Details","API részletek"
"Api key not found","Az API-kulcs nem található"
"ApiKeyFallback with id ""%1"" does not exist.","Az ""%1"" azonosítójú ApiKeyFallback nem létezik."
"Apple Pay","Apple Pay"
"Apple Pay Direct","Apple Pay Közvetlen"
"Are you sure you want to delete selected items?","Biztos benne, hogy törölni szeretné a kiválasztott elemeket?"
"Are you sure you want to do this? This will cancel the current order and create a new one that is marked as payed.","Biztosan el akarja végezni ezt? Ez törli a jelenlegi rendelést, és létrehoz egy új rendelést, amelyet kifizetettként jelölnek."
"Are you sure you want to remove this saved card?","Biztosan törli ezt a mentett kártyát?"
"Autocapture","Automatikus terhelés"
"Autodetect","Automatikus észlelés"
"Automatically Send Second Chance Emails","Automatikusan küldje el a második esély e-maileket"
"Bancomat Pay","Bancomat Pay"
"Bancontact","Bancontact"
