"""%1"" does not implement %1","""%1"" innleiðir ekki %1"
"%1 hours","%1 klukkustundir"
"%1 using Voucher, %2 direct.","%1 nota afsláttarmiða, %2 beint."
"-- Please Select --","-- Vinsamlegast veldu --"
"-- Use Default --","-- Nota sjálfgefið --"
"1 hours","1 klukkustund"
"30 days","30 dagar"
"7 days","7 dagar"
"<strong>Autodetect:</strong> Let Mollie detect the locale depending on the user. However, the locale from the current store view is used when using the Orders API for the used payment method.<br>
<strong>Store Locale</strong>: Use the locale active in the current store or fall back to English if this can't be determined.","<strong>Sjálfvirk greining:</strong> Leyfðu Mollie að greina tungumálastillingu út frá notandanum. Þó er tungumálastillingin úr núverandi verslunarútsýni notuð þegar Orders API er notað fyrir viðkomandi greiðslumáta.<br>
<strong>Verslunarstaðall</strong>: Notaðu tungumálastillingu sem er virk í núverandi verslun eða falltu aftur á ensku ef ekki er hægt að ákvarða hana."
"<strong>Description:</strong> Order #%order_id from %store_name","<strong>Útskýring:</strong> Pöntun #%order_id frá %store_name"
"<strong>Optional:</strong> Comma-separated list of email addresses. Leave empty to disable.","<strong>Valfrjálst:</strong> Kommuaðskilinn listi af netföngum. Skildu eftir autt til að gera óvirkt."
"[TEST] An error occured","[TEST] Villa kom upp"
"A Timeout while connecting to %1 occurred, this could be the result of an outage. Please try again or select another payment method.","Rof átti sér stað við tengingu á %1, þetta gæti verið vegna rafmagnsleysis. Vinsamlegast reyndu aftur eða veldu annan greiðslumáta."
"Actions","Aðgerðir"
"Activating this option allows you to place the Apple Pay button directly on the product detail pages for a faster checkout.","Með því að virkja þennan valkost er hægt að setja Apple Pay hnappinn beint á upplýsingasíður vöru fyrir hraðari útskráningu."
"Active","Virkt"
"Add cookie","Bæta við kökum"
"Add Link to Payment Details","Bæta við hlekk í greiðsluskilmála"
"Add money","Bæta við peninga"
"Add reference column to transactions grid","Bæta tilvísunarveðri við færslutöfluna"
"Advanced","Háþróað"
"Advanced: PWA storefront integration","Fyrirframsól: PWA verslunar samþætting"
"Alias / query param","Samnefni / fyrirspurnarfæribreyta"
"Allow orders to be marked as paid manually?","Leyfa að merkja pantanir sem greiddar handvirkt?"
"Alma","Alma"
