"Check last 100 debug log records","Controlla gli ultimi 100 record del registro di debug"
"Run Self-test","Esegui l'autotest"
"Check for latest versions","Controlla per versioni più recenti"
"Test Apikey","Test Apikey"
"Self Test","Autotest"
"Payment Fee","Commissione di pagamento"
"The latest status from Mollie has been retrieved","È stato recuperato l'ultimo stato da Mollie"
"We cancelled order %1, created this order and marked it as complete.","Abbiamo annullato l'ordine %1, questo ordine e stato creato e contrassegnato come completo."
"Warning: We recommend to install the Mollie extension using Composer, currently it's installed in the app/code folder.","Avviso: Consigliamo di installare l'estensione Mollie utilizzando Composer; attualmente è installata nella cartella app/code."
"The payment reminder email was successfully send","L'email di promemoria del pagamento è stata inviata con successo"
"Log is empty","Il registro è vuoto"
"The payment reminder has been removed","Il promemoria di pagamento è stato rimosso"
"The selected payment reminders have been removed","I promemoria di pagamento selezionati sono stati rimossi"
"Pending Payment Reminders","Promemoria per i pagamenti in attesa"
"The payment reminder for order #%1 has been sent","Il sollecito di pagamento per l'ordine n.%1 è stato inviato."
"The payment reminder for %1 order(s) has been sent","Il promemoria di pagamento per ordine %1 è stato inviato"
"Sent Payment Reminders","Promemoria di pagamento inviati"
"Invalid return, missing order id.","Ritorno non valido, manca l'id dell'ordine."
"Invalid return from Mollie.","Ritorno non valido da Mollie."
"There was an error checking the transaction status.","Si è verificato un errore nella verifica dello stato della transazione."
"Transaction failed. Please verify your billing information and payment method, and try again.","Transazione fallita. Verifica le tue informazioni di fatturazione e il metodo di pagamento e riprova."
"Payment canceled, please try again.","Pagamento annullato, riprova per favore."
"Payment Method not found","Metodo di pagamento non trovato"
"Canceled because an error occurred while redirecting the customer to Mollie","Annullato perché si è verificato un errore durante il reindirizzamento del cliente a Mollie."
"A Timeout while connecting to %1 occurred, this could be the result of an outage. Please try again or select another payment method.","Si è verificato un timeout durante la connessione a %1 , che potrebbe essere il risultato di un'interruzione. Si prega di riprovare o di selezionare un altro metodo di pagamento."
"The required payment token is not available","Il token di pagamento richiesto non è disponibile"
"The payment token %1 does not exists","Il token di pagamento %1 non esiste"
"Payment cancelled, please try again.","Pagamento annullato, riprova per favore."
"The field ""payment_token"" is required for this request","Il campo ""payment_token"" è obbligatorio per questa richiesta."
"Mollie API client for PHP is not installed, for more information about this issue see our %1 page.","Il client Mollie API per PHP non è installato; per ulteriori informazioni su questo problema, consulta la pagina %1."
"Mollie API client for PHP is not installed, for more information about this issue see: %1","Il client API di Mollie per PHP non è installato; per ulteriori informazioni su questo problema, vedi: %1"
"The order was canceled","L'ordine è stato annullato"
"The order was canceled, reason: payment %1","L'ordine è stato annullato, motivo: pagamento %1"
"Test API-key: Empty value","Chiave Test API: valore vuoto"
"Test API-key: Should start with ""test_""","Chiave Test API: deve iniziare con ""test_""."
"Enabled Methods: None, Please enable the payment methods in your Mollie dashboard.","Metodi abilitati: Nessuno, Si prega di abilitare i metodi di pagamento nella Mollie Dashboard."
"Enabled Methods","Metodi abilitati"
"Test API-key: Success!","Chiave Test API: successo!"
"Test API-key: %1","Chiave Test API: %1"
"Live API-key: Empty value","Chiave Live API: valore vuoto"
"Live API-key: Should start with ""live_""","Chiave Live API: deve iniziare con ""live_""."
"Enabled Methods: %1","Metodi abilitati: %1"
"Live API-key: Success!","Chiave Live API: successo!"
