"""%1"" does not implement %1","""%1"" neįvykdo %1"
"%1 hours","%1 valandų"
"%1 using Voucher, %2 direct.","%1 naudojant kuponą, %2 tiesiogiai."
"-- Please Select --","-- Prašome pasirinkti --"
"-- Use Default --","-- Naudoti numatytąjį --"
"1 hours","1 valanda"
"<strong>Autodetect:</strong> Let Mollie detect the locale depending on the user. However, the locale from the current store view is used when using the Orders API for the used payment method.<br>
<strong>Store Locale</strong>: Use the locale active in the current store or fall back to English if this can't be determined.","<strong>Automatinis nustatymas:</strong> Leiskite Mollie nustatyti kalbos ir regiono nustatymus pagal naudotoją. Tačiau naudojant Orders API bus taikomi dabartinės parduotuvės nustatymai, skirti naudojamam mokėjimo būdui.<br>
<strong>Parduotuvės kalba</strong>: Naudojama kalba, aktyvi dabartinėje parduotuvėje, o jei jos nustatyti nepavyksta – naudojama anglų kalba."
"<strong>Description:</strong> Order #%order_id from %store_name","<strong>Aprašymas:</strong> Užsakymas #%order_id iš %store_name"
"<strong>Optional:</strong> Comma-separated list of email addresses. Leave empty to disable.","<strong>Pasirinktinai:</strong> Kableliais atskirtas el. pašto adresų sąrašas. Palikite tuščią, jei norite išjungti."
"A Timeout while connecting to %1 occurred, this could be the result of an outage. Please try again or select another payment method.","Įvyko ryšio laiko viršijimas jungiantis prie %1, tai gali būti dėl sistemos trikdžio. Bandykite dar kartą arba pasirinkite kitą mokėjimo būdą."
"API Details","API detalės"
"Activating this option allows you to place the Apple Pay button directly on the product detail pages for a faster checkout.","Įjungus šią parinktį, galėsite rodyti Apple Pay mygtuką tiesiogiai produkto informacijos puslapiuose, kad atsiskaitymas būtų greitesnis."
"Add Link to Payment Details","Pridėti nuorodą prie mokėjimo informacijos"
"Add money","Pridėti lėšų"
"Add reference column to transactions grid","Pridėti nuorodos stulpelį į operacijų lentelę"
"Advanced","Pažangus"
"Advanced: PWA storefront integration","Pažangus: PWA parduotuvės integracija"
"Allow orders to be marked as paid manually?","Leisti užsakymus pažymėti kaip apmokėtus rankiniu būdu?"
"Alma","Alma"
"Api key not found","API raktas nerastas"
"ApiKeyFallback with id ""%1"" does not exist.","ApiKeyFallback su id ""%1"" neegzistuoja."
"Apple Pay","Apple Pay"
"Apple Pay Direct","Apple Pay Tiesiogiai"
"Are you sure you want to delete selected items?","Ar tikrai norite ištrinti pasirinktus elementus?"
"Are you sure you want to do this? This will cancel the current order and create a new one that is marked as payed.","Ar tikrai norite tęsti? Šis veiksmas atšauks esamą užsakymą ir sukurs naują, pažymėtą kaip apmokėtą."
"Autodetect","Automatinis atpažinimas"
"Automatic","Automatinis"
"Automatically Send Second Chance Emails","Automatiškai siųsti el. laiškus dėl antro bandymo"
"Bancomat Pay","Bancomat Pay"
"Bancontact","Bancontact"
"Banktransfer","Banko pervedimas"
"Belfius","Belfius"
"Billie","Billie"
"Bizum","Bizum"
"Black","Juoda"
"Blik","Blik"
"Book","Knyga"
"Branding","Prekės ženklas"
"Buy","Pirkti"
"Buy Now Button Style","„Pirkti dabar“ mygtuko stilius"
"Buy Now Button Type","„Pirkti dabar“ mygtuko tipas"
"CVC/CVV","CVC/CVV"
"Cancel order when connection fails","Atšaukti užsakymą nutrūkus ryšiui"
"Canceled because an error occurred while redirecting the customer to Mollie","Atšaukta, nes įvyko klaida nukreipiant klientą į Mollie"
"Capture for order %1","Nuskaityti užsakymui %1"
"Capture method","Nuskaitymo metodas"
"Card Number","Kortelės numeris"
"Category","Kategorija"
"Check for latest versions","Ieškoti naujausių versijų"
"Check last 100 debug log records","Peržiūrėti paskutinius 100 derinimo žurnalo įrašų"
"Check out","Mokėti"
"Checkout Type","Atsiskaitymo būdas"
"Checkout Url","Atsiskaitymo URL"
"Class Mollie\Api\MollieApiClient does not exist","Klasė Mollie\Api\MollieApiClient neegzistuoja"
"Click here to complete your payment","Spustelėkite čia, kad užbaigtumėte mokėjimą"
"Click here to pay","Paspauskite čia, kad apmokėtumėte"
"Close","Uždaryti"
"Complete your payment from %store_name","Užbaikite mokėjimą iš %store_name"
"Contribute","Prisidėti"
"Copy","Kopijuoti"
"Could not delete the ApiKeyFallback: %1","Nepavyko ištrinti ApiKeyFallback: %1"
"Could not delete the Customer: %1","Nepavyko ištrinti kliento: %1"
"Could not delete the PaymentToken: %1","Nepavyko ištrinti mokėjimo žetono: %1"
"Could not delete the PendingPaymentReminder: %1","Nepavyko ištrinti mokėjimo priminimo: %1"
"Could not delete the SentPaymentReminder: %1","Nepavyko ištrinti išsiųsto mokėjimo priminimo: %1"
"Could not delete the TransactionToOrder: %1","Nepavyko ištrinti TransactionToOrder: %1"
"Could not save Order Lines. Error: order line not found","Nepavyko išsaugoti užsakymo eilučių. Klaida: užsakymo eilutė nerasta"
"Could not save Order Lines. Error: sku's do not match","Nepavyko išsaugoti užsakymo eilučių. Klaida: SKU nesutampa"
"Could not save the Mollie customer: %1","Nepavyko išsaugoti Mollie kliento: %1"
"Could not save the apiKeyFallback: %1","Nepavyko išsaugoti apiKeyFallback: %1"
"Could not save the paymentToken: %1","Nepavyko išsaugoti mokėjimo žetono: %1"
"Could not save the pendingPaymentReminder: %1","Nepavyko išsaugoti pendingPaymentReminder: %1"
"Could not save the sentPaymentReminder: %1","Nepavyko išsaugoti siųsto mokėjimo priminimo: %1"
"Could not save the transactionToOrder: %1","Nepavyko išsaugoti „transactionToOrder“: %1"
"Create a Mollie Payment link and add this to the order email.","Sukurkite Mollie mokėjimo nuorodą ir pridėkite ją prie užsakymo el. laiško."
"Created Mollie Checkout Url","Sukurta Mollie atsiskaitymo nuoroda"
"Credit Card","Kredito kortelė"
"Current Status: Loading...","Dabartinė būsena: Įkeliama..."
"Custom URL","Pasirinktinis URL"
"Custom attribute","Pasirinktinis atributas"
"Custom payment link url","Individualus mokėjimo nuorodos URL"
"Custom return url","Individualus grąžinimo URL"
"Custom webhook url","Individualus „webhook“ URL"
"Customer redirected to Mollie","Klientas nukreiptas į Mollie"
"Customer with id ""%1"" does not exist.","Klientas su id ""%1"" neegzistuoja."
"Date of Birth is not enabled in the customer address settings. This is required for IN3. Please enable this in Stores > Configuration > Customers > Customer Configuration > Name and Address Options > Show Date of Birth. Please be also aware that this needs to be available in the checkout.","Gimimo datos laukas nėra aktyvuotas kliento adreso nustatymuose, tačiau jis reikalingas IN3. Aktyvuokite jį čia: Parduotuvės > Konfigūracija > Klientai > Kliento konfigūracija > Vardo ir adreso parinktys > Rodyti gimimo datą. Taip pat svarbu, kad šis laukas būtų prieinama atsiskaitymo metu."
"Days to expire","Galiojimo laikas"
"Dear %name,","Gerbiamas %name,"
"Debug","Derinimas"
"Debug & Logging","Derinimas ir žurnalai"
"Debug requests","Derinimo užklausos"
