"""%1"" does not implement %1","""%1"" neįgyvendina %1"
"%1 hours","%1 stundas"
"%1 using Voucher, %2 direct.","%1 naudojant Kuponą, %2 tiesiogiai."
"-- Please Select --","-- Lūdzu izvēlieties --"
"-- Use Default --","-- Izmantot noklusējumu --"
"1 hours","1 stunda"
"30 days","30 dienas"
"7 days","7 dienas"
"<strong>Autodetect:</strong> Let Mollie detect the locale depending on the user. However, the locale from the current store view is used when using the Orders API for the used payment method.<br>
<strong>Store Locale</strong>: Use the locale active in the current store or fall back to English if this can't be determined.","<strong>Automātiska noteikšana:</strong> Ļauj Mollie noteikt lokalizāciju atkarībā no lietotāja. Tomēr, izmantojot Orders API attiecīgajai maksājuma metodei, tiek izmantota pašreizējā veikala skata lokalizācija.<br>
<strong>Veikala lokalizācija</strong>: Izmantot pašreizējā veikalā aktīvo lokalizāciju vai atgriezties pie angļu valodas, ja to nevar noteikt."
"<strong>Description:</strong> Order #%order_id from %store_name","<strong>Apraksts:</strong> Pasūtījums #%order_id no %store_name"
"<strong>Optional:</strong> Comma-separated list of email addresses. Leave empty to disable.","<strong>Neobligāts:</strong> Ar komatu atdalīts e-pasta adrešu saraksts. Atstājiet tukšu, lai atspējotu."
"[TEST] An error occured","[TESTS] Radās kļūda"
"A Timeout while connecting to %1 occurred, this could be the result of an outage. Please try again or select another payment method.","Savienojoties ar %1, radās noildze, kas varētu būt sistēmas pārtraukuma rezultāts. Lūdzu, mēģiniet vēlreiz vai atlasiet citu maksājuma metodi."
"Actions","Darbības"
"Activating this option allows you to place the Apple Pay button directly on the product detail pages for a faster checkout.","Aktivizējot šo opciju, varat izvietot Apple Pay pogu tieši preču detaļu lapās ātrākai norēķināšanās pieredzei."
"Active","Aktīvs"
"Add cookie","Pievienot sīkfailu"
"Add Link to Payment Details","Pievienot saiti maksājuma informācijai"
"Add money","Pridėti pinigų"
"Add reference column to transactions grid","Pievienot atsauces kolonnu darījumu režģim"
"Advanced","Išplėstinis"
"Advanced: PWA storefront integration","Pažangi: PWA parduotuvės integracija"
"Alias / query param","Aizstājvārds / vaicājuma parametrs"
"Allow orders to be marked as paid manually?","Atļaut pasūtījumus manuāli atzīmēt kā apmaksātus?"
"Alma","Alma"
"An authorized payment is a guaranteed amount, yet authorizations are generally not meant to remain open for a longer period. The exact allowed authorization for %1 is <strong>%2</strong>","Autorizēts maksājums ir garantēta summa, taču autorizācijas parasti nav paredzētas ilgstošai atvērtai darbībai. Precīzais atļautais autorizācijas periods %1 ir <strong>%2</strong>"
"An authorized payment is a guaranteed amount, yet authorizations are generally not meant to remain open for a longer period. The exact allowed authorization window depends on the type of card your customer used.","Autorizēts maksājums ir garantēta summa, taču autorizācijas parasti nav paredzētas ilgstošai atvērtai darbībai. Precīzais atļautais autorizācijas periods ir atkarīgs no jūsu klienta izmantotās kartes veida."
"Anonymize debug requests","Anonimizēt atkļūdošanas pieprasījumus"
"API Details","API detaļas"
"Api key not found","API atslēga nav atrasta"
"ApiKeyFallback with id ""%1"" does not exist.","ApiKeyFallback ar id ""%1"" nepastāv."
"Apple Pay","Apple Pay"
"Apple Pay Direct","Apple Pay Direct"
"Are you sure you want to delete selected items?","Vai tiešām vēlaties dzēst atlasītos vienumus?"
"Are you sure you want to do this? This will cancel the current order and create a new one that is marked as payed.","Vai tiešām vēlaties to darīt? Tiks atcelts pašreizējais pasūtījums un izveidots jauns, kas atzīmēts kā apmaksāts."
"Are you sure you want to remove this saved card?","Vai tiešām vēlaties noņemt šo saglabāto karti?"
"Autocapture","Automātiska iekasēšana"
"Autodetect","Automātiskā noteikšana"
"Automatically Send Second Chance Emails","Automatiškai siųsti antrojo šanso el. laiškus"
"Bancomat Pay","„Bancomat Pay“"
"Bancontact","Bancontact"
"Banktransfer","Bankas pārskaitījums"
"Belfius","Belfius"
"Billie","Billie"
"Bizum","Bizum"
"Black","Melns"
"Blik","Blik"
"Book","Grāmata"
"Branding","Zīmols"
"Buy","Pirkt"
"Buy Now Button Style","Pirkti dabar mygtuko stilius"
"Buy Now Button Type","Pirkti dabar mygtuko tipas"
"Cancel order on checkout return","Atcelt pasūtījumu, atgriežoties no norēķinu lapas"
"Cancel order when connection fails","Atcelt pasūtījumu, ja savienojums neizdodas"
"Canceled because an error occurred while redirecting the customer to Mollie","Atcelts, jo klienta novirzīšanas laikā uz Mollie radās kļūda"
"Capture Before","Iekasēt pirms"
"Capture delay","Iekasēšanas aizkave"
"Capture delay unit","Iekasēšanas aizkaves vienība"
"Capture expiration window","Iekasēšanas derīguma termiņš"
"Capture for order %1","Iekasēšana pasūtījumam %1"
"Capture method","Iekasēšanas metode"
"Card","Karte"
"Card ending in %1","Karte, kas beidzas ar %1"
"Card Number","Kartes numurs"
"Category","Kategorija"
"Check for latest versions","Patikrinti naujausias versijas"
"Check last 100 debug log records","Peržiūrėkite paskutinius 100 diagnostikos įrašų"
"Check out","Veikt norēķinu"
"Checkout Type","Norēķinu veids"
"Checkout Url","Norēķinu URL"
"Class Mollie\Api\MollieApiClient does not exist","Klase Mollie\Api\MollieApiClient neeksistē"
"Click here to complete your payment","Noklikšķiniet šeit, lai pabeigtu maksājumu"
"Click here to pay","Noklikšķiniet šeit, lai apmaksātu"
"Close","Aizvērt"
"Complete your payment from %store_name","Pabeidziet savu maksājumu no %store_name"
"Consent text","Piekrišanas teksts"
"Contains logs, config, and environment metadata. Sensitive values (encryption key, passwords, API keys) are redacted.","Satur žurnālus, konfigurāciju un vides metadatus. Sensitīvās vērtības (šifrēšanas atslēga, paroles, API atslēgas) ir noslēptas."
"Contribute","Sniegt ieguldījumu"
"Cookie name","Sīkfaila nosaukums"
"Cookies captured at checkout submission. The raw cookie value is forwarded as-is under the given alias as a query parameter on the Mollie redirect URL, and persisted on the success page so JavaScript on that page can read it.","Sīkfaili tiek uztverti, iesniedzot norēķinu lapu. Neapstrādātā sīkfaila vērtība tiek pārsūtīta kā vaicājuma parametrs ar norādīto aizstājvārdu Mollie novirzīšanas URL, un tā tiek saglabāta veiksmīgā darījuma lapā, lai to varētu nolasīt JavaScript."
"Copy","Kopēt"
"Could not acquire lock for quote ID: %1","Neizdevās iegūt bloķēšanu piedāvājuma ID: %1"
"Could not delete the ApiKeyFallback: %1","Neizdevās dzēst ApiKeyFallback: %1"
"Could not delete the Customer: %1","Neizdevās dzēst klientu: %1"
"Could not delete the PaymentToken: %1","Neizdevās dzēst maksājuma pilnvaru: %1"
"Could not delete the PendingPaymentReminder: %1","Neizdevās dzēst PendingPaymentReminder: %1"
"Could not delete the SentPaymentReminder: %1","Neizdevās dzēst nosūtīto maksājuma atgādinājumu: %1"
"Could not delete the TransactionToOrder: %1","Neizdevās dzēst TransactionToOrder: %1"
"Could not save Order Lines. Error: order line not found","Neizdevās saglabāt pasūtījuma rindas. Kļūda: pasūtījuma rinda nav atrasta"
"Could not save Order Lines. Error: sku's do not match","Neizdevās saglabāt pasūtījuma rindas. Kļūda: SKU nesakrīt"
"Could not save the apiKeyFallback: %1","Neizdevās saglabāt apiKeyFallback: %1"
