"""%1"" does not implement %1","""%1"" implementerer ikke %1"
"%1 hours","%1 timer"
"%1 using Voucher, %2 direct.","%1 bruker voucher, %2 direkte."
"-- Please Select --","-- Vennligst velg --"
"-- Use Default --","-- Bruk standard --"
"1 hours","1 time"
"30 days","30 dager"
"7 days","7 dager"
"<strong>Autodetect:</strong> Let Mollie detect the locale depending on the user. However, the locale from the current store view is used when using the Orders API for the used payment method.<br>
<strong>Store Locale</strong>: Use the locale active in the current store or fall back to English if this can't be determined.","<strong>Autodetect:</strong> La Mollie oppdage språkinnstillingen basert på brukeren. Språkinnstillingen fra den gjeldende butikkvisningen brukes imidlertid når Orders API benyttes for den valgte betalingsmetoden.<br>
<strong>Butikkens språkinnstilling</strong>: Bruk språkinnstillingen som er aktiv i gjeldende butikk, eller fall tilbake til engelsk hvis dette ikke kan bestemmes."
"<strong>Description:</strong> Order #%order_id from %store_name","<strong>Beskrivelse:</strong> Bestilling #%order_id fra %store_name"
"<strong>Optional:</strong> Comma-separated list of email addresses. Leave empty to disable.","<strong>Valgfritt:</strong> Kommaseparert liste over e-postadresser. La feltet stå tomt for å deaktivere."
"[TEST] An error occured","[TEST] En feil oppstod"
"A Timeout while connecting to %1 occurred, this could be the result of an outage. Please try again or select another payment method.","Det oppsto en timeout ved tilkobling til %1, dette kan være resultatet av en nedetid. Vennligst prøv igjen eller velg en annen betalingsmetode."
"Actions","Handlinger"
"Activating this option allows you to place the Apple Pay button directly on the product detail pages for a faster checkout.","Aktivering av dette alternativet lar deg plassere Apple Pay-knappen direkte på produktdetaljsidene for en raskere utsjekking."
"Active","Aktiv"
"Add cookie","Legg til informasjonskapsel"
"Add Link to Payment Details","Legg til lenke til betalingsdetaljer"
"Add money","Legg til penger"
"Add reference column to transactions grid","Legg til referansekolonne i transaksjonsrutenettet"
"Advanced","Avansert"
"Advanced: PWA storefront integration","Avansert: PWA butikkfront-integrasjon"
"Alias / query param","Alias / spørringsparameter"
"Allow orders to be marked as paid manually?","Tillat at bestillinger merkes som betalt manuelt?"
"Alma","Alma"
"An authorized payment is a guaranteed amount, yet authorizations are generally not meant to remain open for a longer period. The exact allowed authorization for %1 is <strong>%2</strong>","En autorisert betaling er et garantert beløp, men autorisasjoner er generelt ikke ment å forbli åpne i lengre tid. Den nøyaktige tillatte autorisasjonsperioden for %1 er <strong>%2</strong>"
"An authorized payment is a guaranteed amount, yet authorizations are generally not meant to remain open for a longer period. The exact allowed authorization window depends on the type of card your customer used.","En autorisert betaling er et garantert beløp, men autorisasjoner er generelt ikke ment å forbli åpne i lengre tid. Den nøyaktige tillatte autorisasjonsperioden avhenger av korttypen kunden brukte."
