"Check last 100 debug log records","Sprawdź ostatnie 100 wpisów w logu debugowania"
"Run Self-test","Uruchom test diagnostyczny"
"Check for latest versions","Sprawdź najnowsze wersje"
"Test Apikey","Testowy klucz API"
"Self Test","Autotest"
"Payment Fee","Prowizja za płatność"
"The latest status from Mollie has been retrieved","Najnowszy status z Mollie został pobrany"
"We cancelled order %1, created this order and marked it as complete.","Anulowaliśmy zamówienie %1, utworzyliśmy to zamówienie i oznaczyliśmy je jako zakończone."
"Warning: We recommend to install the Mollie extension using Composer, currently it's installed in the app/code folder.","Ostrzeżenie: Zalecamy zainstalowanie rozszerzenia Mollie przy pomocy Composer, obecnie jest ono zainstalowane w folderze app/code."
"The payment reminder email was successfully send","E-mail z przypomnieniem o płatności został pomyślnie wysłany"
"Log is empty","Log jest pusty"
"The payment reminder has been removed","Przypomnienie o płatności zostało usunięte"
"The selected payment reminders have been removed","Wybrane przypomnienia o płatności zostały usunięte"
"Pending Payment Reminders","Oczekujące przypomnienia o płatności"
"The payment reminder for order #%1 has been sent","Przypomnienie o płatności dla zamówienia #%1 zostało wysłane"
"The payment reminder for %1 order(s) has been sent","Przypomnienie o płatności dla %1 zamówienia(zamówień) zostało(y) wysłane"
"Sent Payment Reminders","Przypomnienia o płatności zostały wysłane"
"Invalid return, missing order id.","Nieprawidłowy zwrot, brak identyfikatora zamówienia."
"Invalid return from Mollie.","Nieprawidłowy zwrot z Mollie."
"There was an error checking the transaction status.","Wystąpił błąd podczas sprawdzania statusu transakcji."
"Transaction failed. Please verify your billing information and payment method, and try again.","Transakcja nie powiodła się. Proszę sprawdzić dane do faktury i metodę płatności, a następnie spróbować ponownie."
"Payment canceled, please try again.","Płatność została anulowana, proszę spróbować ponownie."
"Payment of type %1 has been rejected. Decision is based on order and outcome of risk assessment.","Płatność typu %1 została odrzucona. Decyzja jest oparta na wynikach oceny ryzyka."
"Payment Method not found","Nie znaleziono metody płatności."
"Canceled because an error occurred while redirecting the customer to Mollie","Anulowano, ponieważ wystąpił błąd podczas przekierowywania klienta do Mollie"
"A Timeout while connecting to %1 occurred, this could be the result of an outage. Please try again or select another payment method.","Wystąpił czasowego przekroczenia limitu podczas łączenia z %1, może to być wynikiem awarii. Spróbuj ponownie lub wybierz inną metodę płatności."
"The required payment token is not available","Wymagany token płatności nie jest dostępny"
"The payment token %1 does not exists","Token płatności %1 nie istnieje"
"Payment cancelled, please try again.","Płatność anulowana, proszę spróbować ponownie."
"The field ""payment_token"" is required for this request","Pole ""payment_token"" jest wymagane dla tego żądania"
"Mollie API client for PHP is not installed, for more information about this issue see our %1 page.","Klient API Mollie dla PHP nie jest zainstalowany, aby uzyskać więcej informacji na temat tego problemu, odwiedź naszą stronę %1."
"Mollie API client for PHP is not installed, for more information about this issue see: %1","Klient API Mollie dla PHP nie jest zainstalowany, aby uzyskać więcej informacji na temat tego problemu, odwiedź %1"
"The order was canceled","Zamówienie zostało anulowane"
"The order was canceled, reason: payment %1","Zamówienie zostało anulowane, powód: płatność %1"
"Test API-key: Empty value","Testowy klucz API: Pusta wartość"
"Test API-key: Should start with ""test_""","Testowy klucz API: Powinien zaczynać się od ""test_"""
"Enabled Methods: None, Please enable the payment methods in your Mollie dashboard.","Włączone metody: Brak, Włącz metody płatności w swoim panelu Mollie."
"Enabled Methods","Włączone metody"
"Test API-key: Success!","Testowy klucz API: Sukces!"
"Test API-key: %1","Testowy klucz API: %1"
"Live API-key: Empty value","Live Klucz API: Pusta wartość"
"Live API-key: Should start with ""live_""","Live Klucz API: powinien zaczynać się od ""live_"""
"Enabled Methods: %1","Włączone metody: %1"
"Live API-key: Success!","Live Klucz API: Sukces!"
"Live API-key: %1","Live Klucz API: %1"
"Error: The client requires PHP version >= %1, you have %2.","Błąd: Klient wymaga wersji PHP >= %1, masz %2."
"Success: PHP version: %1.","Sukces: wersja PHP: %1."
"Error: PHP extension JSON is not enabled.","Błąd: Rozszerzenie PHP JSON nie jest włączone."
"Please make sure to enable ""json"" in your PHP configuration.","Upewnij się, że rozszerzenie JSON jest włączone w konfiguracji PHP."
"Success: JSON is enabled.","Sukces: rozszerzenie JSON jest włączone."
"Error: Mollie CompatibilityChecker not found.","Błąd: Mollie CompatibilityChecker nie został znaleziony."
"Warning: We recommend to use a unique payment status for pending Banktransfer payments","Ostrzeżenie: Zalecamy korzystanie z unikalnego statusu płatności dla oczekujących płatności realizowanych przelewem bankowym"
"Live","Live"
"Test","Testowy"
"External","Zewnętrzny"
"Direct","Bezpośredni"
"On Authorize","W trakcie autoryzacji"
"On Shipment","W trakcie wysyłki"
"Dropdown","Lista rozwijana"
"List with images","Lista z obrazami"
"Don't show issuer list","Nie pokazuj listy wydawców"
"Autodetect","Automatyczne wykrywanie"
"Store Locale","Lokalizacja sklepu"
"Payments API","Payments API"
"Orders API","Orders API"
"None","Brak"
"First available Mollie method","Pierwsza dostępna metoda Mollie"
"No","Nie"
"Percentage","Procent"
"Fixed Fee","Stała opłata"
"Fixed Fee and Percentage","Stała opłata i procent"
"-- Use Default --","-- Użyj wartości domyślnych --"
"Please select","Wybierz"
"1 hours","1 godzina"
"%1 hours","%1 godzin"
"Meal","Posiłek"
"Eco","Ekologiczne"
"Gift","Prezent"
"Custom attribute","Atrybut niestandardowy"
"Enabled","Włączone"
"Custom URL","Niestandardowy adres URL"
"Disabled","Wyłączone"
"Customer redirected to Mollie","Klient przekierowany do Mollie"
"Created Mollie Checkout Url","URL do Mollie Checkout został pomyślnie wygenerowany"
"Currency does not match.","Waluta nie zgadza się."
"Mollie: Order Amount %1, Captured Amount %2","Mollie: Kwota zamówienia %1, Kwota pobrana %2"
"New order email sent","E-mail z nowym zamówieniem został wysłany"
"Unable to send the new order email: %1","Nie udało się wysłać e-maila z nowym zamówieniem: %1"
"Notified customer about invoice #%1","Powiadomiono klienta o fakturze #%1"
"Unable to send the invoice: %1","Nie udało się wysłać faktury: %1"
"Transaction ID not found","Nie znaleziono identyfikatora transakcji"
"Api key not found","Nie znaleziono klucza API"
"Mollie (Order ID: %2): %1","Mollie (ID zamówienia: %2): %1"
"Class Mollie\Api\MollieApiClient does not exist","Class Mollie\Api\MollieApiClient nie istnieje"
"Shipment already pushed to Mollie","Informacje o przesyłce przekazane do Mollie"
"All items in this order where already marked as shipped in the Mollie dashboard.","Wszystkie pozycje w tym zamówieniu zostały oznaczone jako wysłane w panelu Mollie."
"Mollie API: %1","Mollie API: %1"
"Shipment ID not found","Nie znaleziono identyfikatora wysyłki"
"An offline refund has been created, please make sure to also create this refund on mollie.com/dashboard or use the online refund option.","Utworzono zwrot offline, upewnij się, zwrot ten zostanie również utworzony na mollie.com/dashboard lub za pomocą opcji zwrotu online."
"Order can only be refunded after Klarna has been captured (after shipment)","Zamówienie może zostać zwrócone tylko po zrealizowaniu płatności Klarna (po wysyłce)"
"Can not create online refund, as shipping costs do not match","Nie można utworzyć zwrotu online, ponieważ koszty wysyłki nie odpowiadają pierwotnej kwocie"
"Mollie: Captured %1, Settlement Amount %2","Mollie: Pobrane %1, Kwota rozliczenia %2"
"Order not found","Zamówienie nie zostało znalezione"
"API Key not found","Nie znaleziono klucza API"
"Error: not possible to create an online refund: %1","Błąd: nie można utworzyć zwrotu online: %1"
"No order found for transaction id %1","Nie znaleziono zamówienia dla ID transakcji %1"
"-- Please Select --","-- Wybierz --"
"QR Code","Kod QR"
"Could not save the Mollie customer: %1","Nie udało się zapisać klienta Mollie: %1"
"Customer with id ""%1"" does not exist.","Klient o identyfikatorze ""%1"" nie istnieje."
"Could not delete the Customer: %1","Nie udało się usunąć klienta: %1"
"Could not save Order Lines. Error: order line not found","Nie udało się zapisać pozycji zamówienia. Błąd: nie znaleziono pozycji zamówienia"
"Could not save Order Lines. Error: sku's do not match","Nie udało się zapisać pozycji zamówienia. Błąd: numery SKU nie zgadzają się"
"Could not save the paymentToken: %1","Nie udało się zapisać tokenu płatności: %1"
"PaymentToken with id ""%1"" does not exist.","Token płatności o identyfikatorze ""%1"" nie istnieje."
"Could not delete the PaymentToken: %1","Nie udało się usunąć PaymentToken: %1"
"Could not save the pendingPaymentReminder: %1","Nie udało się zapisać pendingPaymentReminder: %1"
"PendingPaymentReminder with id ""%1"" does not exist.","PendingPaymentReminder ""%1"" nie istnieje."
"Could not delete the PendingPaymentReminder: %1","Nie udało się usunąć PendingPaymentReminder: %1"
"Could not save the sentPaymentReminder: %1","Nie udało się zapisać sentPaymentReminder: %1"
"SentPaymentReminder with id ""%1"" does not exist.","SentPaymentReminder z identyfikatorem ""%1"" nie istnieje."
"Could not delete the SentPaymentReminder: %1","Nie udało się usunąć SentPaymentReminder: %1"
"%1: method not enabled in Mollie Dashboard","%1: metoda nie jest włączona w panelu Mollie"
"Are you sure you want to do this? This will cancel the current order and create a new one that is marked as payed.","Czy na pewno chcesz to zrobić? Bieżące zamówienie zostanie anulowane oraz utworzone zostanie nowe, oznaczone jako opłacone."
"Mark as paid","Oznacz jako opłacone"
"Send Payment Reminder","Wyślij przypomnienie o płatności"
"Error: It looks like not all extension attributes are present. Make sure you run `bin/magento setup:di:compile`.","Błąd: Wygląda na to, że nie wszystkie atrybuty rozszerzenia są obecne. Upewnij się, że uruchamiasz `bin/magento setup:di:compile`."
"Warning: Webhooks are currently disabled.","Ostrzeżenie: Webhooki są obecnie wyłączone."
"Store Credit","Kredyt sklepowy"
"We where unable to find the store credit for order #%1","Nie udało nam się znaleźć kredytu sklepowego dla zamówienia #%1"
"We created a new order with increment ID: %1","Utworzyliśmy nowe zamówienie o identyfikatorze numeracyjnym: %1"
"There is no order found with token %1","Nie znaleziono zamówienia z tokenem %1"
"Order uncanceled by webhook.","Zamówienie przywrócone z anulowania przez webhook."
"[TEST] An error occured","[TEST] Wystąpił błąd"
"Delete","Usuń"
"Send now","Wyślij teraz"
"Create a Mollie Payment link and add this to the order email.","Utwórz link do płatności Mollie i dodaj go do e-maila z zamówieniem."
"Limit to the following method(s)","Ogranicz do następujących metod"
"If one method is chosen, it will skip the selection screen and the customer is sent directly to the payment method.","Jeśli wybrana zostanie jedna metoda płatności, ekran wyboru zostanie pominięty, a klient zostanie bezpośrednio przekierowany do metody płatności."
"This order expires at:","To zamówienie wygasa o:"
"It is not posible to use Klarna Slice it or Klarna Pay later as method when your expiry date is more than 28 days in the future, unless another maximum is agreed between the merchant and Klarna.","Nie jest możliwe użycie Klarna: Zapłać za 30 dni jako metody płatności, gdy data ważności zamówienia jest dłuższa niż 28 dni, chyba, że inny maksymalny okres zostanie uzgodniony między sprzedawcą a Klarna."
"Checkout Type","Typ płatności"
"Checkout Url","Checkout Url"
"Valid Until","Ważne do"
"Payment Status","Status płatności"
"Please ship order to capture Klarna payment","Proszę wysłać zamówienie, aby pobrać płatność Klarna"
"Mollie ID","Mollie ID"
"View in Mollie dashboard","Wyświetl w panelu Mollie"
"Copy","Kopiuj"
"Update Payment Status","Aktualizuj status płatności"
"Fetch Status","Pobierz status"
"The payment-status will updated automatically by default, but in case of any interruption you can use this function to fetch the payment status manually.","Status płatności jest domyślnie aktualizowany automatycznie, ale w przypadku jakichkolwiek problemów możesz użyć tej funkcji, aby ręcznie pobrać status płatności."
"Redirecting to Mollie","Przekierowywanie do Mollie"
"Back to Checkout","Wróć do realizacji"
"Proceed Payment","Przejdź do płatności"
"Complete your payment from %store_name","Sfinalizuj płatność z %store_name"
"Dear %name,","Drogi %name,"
"Thank you for shopping at %store_name.","Dziękujemy za zakupy w %store_name."
"We noticed that you have placed an order with the following products but did not complete your payment. Use the link below to complete your order and make sure you don’t miss out on your items!","Zauważyliśmy, że złożyłeś zamówienie na następujące produkty, ale nie dokończyłeś płatności. Skorzystaj z linku poniżej, aby sfinalizować swoje zamówienie i upewnić się, że nie utracisz swoich przedmiotów!"
