"Check last 100 debug log records","Verifique os últimos 100 registos de depuração"
"Run Self-test","Executar autoteste"
"Check for latest versions","Verificar as versões mais recentes"
"Test Apikey","Chave de API de teste"
"Self Test","Autoteste"
"Payment Fee","Taxa de pagamento"
"The latest status from Mollie has been retrieved","O estado mais recente da Mollie foi recuperado"
"We cancelled order %1, created this order and marked it as complete.","Cancelámos a encomenda %1, criámos esta encomenda e marcámo-la como concluída."
"Warning: We recommend to install the Mollie extension using Composer, currently it's installed in the app/code folder.","Aviso: Recomendamos instalar a extensão Mollie usando o Composer, atualmente está instalada na pasta app/code."
"The payment reminder email was successfully send","O e-mail de lembrete de pagamento foi enviado com sucesso"
"Log is empty","O registo está vazio"
"The payment reminder has been removed","O lembrete de pagamento foi removido"
"The selected payment reminders have been removed","Os lembretes de pagamento selecionados foram removidos"
"Pending Payment Reminders","Lembretes de pagamento pendentes"
"The payment reminder for order #%1 has been sent","O lembrete de pagamento para a encomenda #%1 foi enviado"
"The payment reminder for %1 order(s) has been sent","O lembrete de pagamento para %1 encomenda(s) foi enviado"
"Sent Payment Reminders","Lembretes de pagamento enviados"
"Invalid return, missing order id.","Devolução inválida, ID da encomenda em falta."
"Invalid return from Mollie.","Retorno inválido da Mollie."
"There was an error checking the transaction status.","Ocorreu um erro ao verificar o estado da transação."
"Transaction failed. Please verify your billing information and payment method, and try again.","A transação falhou. Por favor, verifique a sua informação de faturação e método de pagamento e tente novamente."
"Payment canceled, please try again.","Pagamento cancelado. Por favor, tente novamente."
"Payment of type %1 has been rejected. Decision is based on order and outcome of risk assessment.","O pagamento do tipo %1 foi rejeitado. A decisão é baseada na encomenda e no resultado da avaliação de risco."
"Payment Method not found","Método de pagamento não encontrado"
"Canceled because an error occurred while redirecting the customer to Mollie","Cancelado porque ocorreu um erro ao redirecionar o cliente para a Mollie"
"A Timeout while connecting to %1 occurred, this could be the result of an outage. Please try again or select another payment method.","Expirou o tempo limite ao tentar conectar ao %1, possivelmente devido a uma falha de conexão. Por favor, tente novamente ou selecione outro método de pagamento."
"The required payment token is not available","O token de pagamento requerido não está disponível"
"The payment token %1 does not exists","O token de pagamento %1 não existe"
"Payment cancelled, please try again.","Pagamento cancelado. Por favor, tente novamente."
"The field ""payment_token"" is required for this request","O campo ""payment_token"" é obrigatório para este pedido"
"Mollie API client for PHP is not installed, for more information about this issue see our %1 page.","O cliente da API Mollie para PHP não está instalado. Para mais informações sobre este assunto, consulte a nossa página %1."
"Mollie API client for PHP is not installed, for more information about this issue see: %1","O cliente da API Mollie para PHP não está instalado. Para mais informações sobre este assunto, consulte: %1"
"The order was canceled","A encomenda foi cancelada"
"The order was canceled, reason: payment %1","A encomenda foi cancelada. Motivo: pagamento %1"
"Test API-key: Empty value","Chave de API de teste: Valor vazio"
"Test API-key: Should start with ""test_""","Chave de API de teste: Deve começar com ""test_"""
"Enabled Methods: None, Please enable the payment methods in your Mollie dashboard.","Métodos ativados: nenhum. Por favor, ative os métodos de pagamento no seu painel de controlo Mollie da Mollie."
"Enabled Methods","Métodos ativados"
"Test API-key: Success!","Chave de API de teste: sucesso!"
"Test API-key: %1","Chave de API de teste: %1"
"Live API-key: Empty value","Chave de API ativa: valor vazio"
"Live API-key: Should start with ""live_""","Chave de API ativa: deve começar com ""live_"""
"Enabled Methods: %1","Métodos ativados: %1"
"Live API-key: Success!","Chave de API ativa: sucesso!"
