"""%1"" does not implement %1","""%1"" nu implementează %1"
"%1 hours","%1 ore"
"%1 using Voucher, %2 direct.","%1 folosind Voucher, %2 direct."
"-- Please Select --","-- Vă rugăm să selectați --"
"-- Use Default --","-- Folosește standard --"
"1 hours","1 oră"
"30 days","30 de zile"
"7 days","7 zile"
"<strong>Autodetect:</strong> Let Mollie detect the locale depending on the user. However, the locale from the current store view is used when using the Orders API for the used payment method.<br>
<strong>Store Locale</strong>: Use the locale active in the current store or fall back to English if this can't be determined.","<strong>Detectare automată:</strong> Lasă Mollie să detecteze limba în funcție de utilizator. Cu toate acestea, limba din vizualizarea curentă a magazinului este utilizată atunci când se folosește Orders API pentru metoda de plată selectată.<br>
<strong>Limba magazinului</strong>: Utilizează limba activă în magazinul curent sau revine la engleză dacă aceasta nu poate fi determinată."
"<strong>Description:</strong> Order #%order_id from %store_name","<strong>Descriere:</strong> Comanda #%order_id de la %store_name"
"<strong>Optional:</strong> Comma-separated list of email addresses. Leave empty to disable.","<strong>Opțional:</strong> Listă de adrese de e-mail separate prin virgulă. Lăsați gol pentru a dezactiva."
"[TEST] An error occured","[TEST] A apărut o eroare"
"A Timeout while connecting to %1 occurred, this could be the result of an outage. Please try again or select another payment method.","A apărut o eroare de timeout în timpul conexiunii la %1, aceasta poate fi rezultatul unei defecțiuni. Vă rugăm să încercați din nou sau să selectați o altă metodă de plată."
"Actions","Acțiuni"
"Activating this option allows you to place the Apple Pay button directly on the product detail pages for a faster checkout.","Activarea acestei opțiuni permite plasarea butonului Apple Pay direct pe paginile de detalii ale produsului pentru o finalizare mai rapidă a comenzii."
"Active","Activ"
"Add cookie","Adăugați cookie"
"Add Link to Payment Details","Adaugă link la detaliile plății"
"Add money","Adăugați bani"
"Add reference column to transactions grid","Adăugați coloana de referință în grila de tranzacții"
"Advanced","Avansat"
"Advanced: PWA storefront integration","Avansat: integrarea Storefront PWA"
"Alias / query param","Alias / parametru de interogare"
"Allow orders to be marked as paid manually?","Permiteți marcarea manuală a comenzilor ca plătite?"
"Alma","Alma"
"An authorized payment is a guaranteed amount, yet authorizations are generally not meant to remain open for a longer period. The exact allowed authorization for %1 is <strong>%2</strong>","O plată autorizată reprezintă o sumă garantată, totuși autorizările nu sunt, în general, destinate să rămână deschise pentru o perioadă îndelungată. Autorizarea exactă permisă pentru %1 este <strong>%2</strong>"
"An authorized payment is a guaranteed amount, yet authorizations are generally not meant to remain open for a longer period. The exact allowed authorization window depends on the type of card your customer used.","O plată autorizată reprezintă o sumă garantată, totuși autorizările nu sunt, în general, destinate să rămână deschise pentru o perioadă îndelungată. Fereastra exactă de autorizare permisă depinde de tipul de card utilizat de clientul dumneavoastră."
"Anonymize debug requests","Anonimizați cererile de depanare"
"API Details","Detalii API"
"Api key not found","API key-ul nu a fost găsit"
"ApiKeyFallback with id ""%1"" does not exist.","API Key Fallback cu ID ""%1"" nu există."
"Apple Pay","Apple Pay"
"Apple Pay Direct","Apple Pay Direct"
"Are you sure you want to delete selected items?","Ești sigur că vrei să ștergi articolele selectate?"
"Are you sure you want to do this? This will cancel the current order and create a new one that is marked as payed.","Ești sigur că vrei să faci asta? Aceasta va anula comanda curentă și va crea una nouă care este marcată ca plătită."
"Are you sure you want to remove this saved card?","Sigur doriți să eliminați acest card salvat?"
"Autocapture","Captură automată"
"Autodetect","Detectare automată"
"Automatically Send Second Chance Emails","Trimiteți automat e-mailuri de a doua șansă"
"Bancomat Pay","Bancomat Pay"
"Bancontact","Bancontact"
"Banktransfer","Transfer bancar"
"Belfius","Belfius"
"Billie","Billie"
"Bizum","Bizum"
"Black","Negru"
"Blik","Blik"
"Book","Carte"
"Branding","Identitate vizuală"
"Buy","Cumpără"
"Buy Now Button Style","Stilul butonului „Cumpără acum”"
"Buy Now Button Type","Tipul butonului „Cumpără acum”"
"Cancel order on checkout return","Anulați comanda la revenirea din procesul de plată"
"Cancel order when connection fails","Anulați comanda când conexiunea eșuează"
"Canceled because an error occurred while redirecting the customer to Mollie","Anulat deoarece a apărut o eroare în timpul redirecționării clientului către Mollie"
"Capture Before","Capturați înainte de"
"Capture delay","Întârziere captură"
"Capture delay unit","Unitate de întârziere captură"
"Capture expiration window","Fereastră de expirare a capturii"
"Capture for order %1","Captură pentru comanda %1"
"Capture method","Metodă de captură"
"Card","Card"
"Card ending in %1","Card care se termină în %1"
"Card Number","Numărul cardului"
"Category","Categorie"
"Check for latest versions","Verificați cele mai recente versiuni"
"Check last 100 debug log records","Verificați ultimele 100 de înregistrări din jurnalul de depanare"
"Check out","Finalizați"
"Checkout Type","Tip de finalizare comandă"
"Checkout Url","URL finalizare comandă"
"Class Mollie\Api\MollieApiClient does not exist","Clasa Mollie\API\MollieAPIClient nu există"
"Click here to complete your payment","Click aici pentru a-ți finaliza plata"
"Click here to pay","Faceți clic aici pentru a plăti"
"Close","Închideți"
"Complete your payment from %store_name","Finalizați plata de la %store_name"
"Consent text","Text de consimțământ"
"Contains logs, config, and environment metadata. Sensitive values (encryption key, passwords, API keys) are redacted.","Conține jurnale, configurații și metadate de mediu. Valorile sensibile (cheie de criptare, parole, chei API) sunt redactate."
"Contribute","Contribuiți"
"Cookie name","Nume cookie"
"Cookies captured at checkout submission. The raw cookie value is forwarded as-is under the given alias as a query parameter on the Mollie redirect URL, and persisted on the success page so JavaScript on that page can read it.","Cookie-urile capturate la trimiterea comenzii. Valoarea brută a cookie-ului este transmisă ca atare sub aliasul dat ca parametru de interogare în URL-ul de redirecționare Mollie și persistă pe pagina de succes pentru a putea fi citită de JavaScript de pe acea pagină."
"Copy","Copiază"
"Could not acquire lock for quote ID: %1","Nu s-a putut obține blocarea pentru ID-ul coșului: %1"
"Could not delete the ApiKeyFallback: %1","Nu s-a putut șterge API Key Fallback: %1"
"Could not delete the Customer: %1","Nu s-a putut șterge clientul: %1"
"Could not delete the PaymentToken: %1","Nu s-a putut șterge token-ul de plată: %1"
"Could not delete the PendingPaymentReminder: %1","Nu s-a putut șterge memento-ul pentru plata în așteptare: %1"
"Could not delete the SentPaymentReminder: %1","Nu s-a putut șterge memento-ul pentru plata trimisă: %1"
"Could not delete the TransactionToOrder: %1","Nu s-a putut șterge TransactionToOrder: %1"
"Could not save Order Lines. Error: order line not found","Nu s-au putut salva liniile comenzii. Eroare: linia comenzii nu a fost găsită"
"Could not save Order Lines. Error: sku's do not match","Nu s-au putut salva liniile de comandă. Eroare: codurile SKU nu se potrivesc"
"Could not save the apiKeyFallback: %1","Nu s-a putut salva API Key Fallback: %1"
"Could not save the Mollie customer: %1","Nu a fost posibil să se salveze clientul Mollie: %1"
"Could not save the paymentToken: %1","Nu s-a putut salva token-ul de plată: %1"
"Could not save the pendingPaymentReminder: %1","Nu s-a putut salva memento-ul pentru plata în așteptare: %1"
"Could not save the saved card consent: %1","Nu s-a putut salva consimțământul pentru cardul salvat: %1"
"Could not save the sentPaymentReminder: %1","Nu s-a putut salva memento-ul pentru plata trimisă: %1"
"Could not save the tracking record: %1","Nu s-a putut salva înregistrarea de urmărire: %1"
"Could not save the transactionToOrder: %1","Nu s-a putut salva TransactionToOrder: %1"
"Create a Mollie Payment link and add this to the order email.","Creează un link de plată Mollie și adaugă-l în emailul comenzii."
"Create invoice on successful payment","Creați factură la plata reușită"
"Created Mollie Checkout Url","URL-ul Mollie Checkout a fost creat"
"Credit Card","Card de credit"
"Current Status: Loading...","Stare curentă: Se încarcă..."
"Custom attribute","Atribut personalizat"
"Custom payment link url","URL personalizat pentru link de plată"
"Custom return url","URL de returnare personalizat"
"Custom URL","URL personalizat"
"Custom webhook url","URL webhook personalizat"
"Customer not found.","Clientul nu a fost găsit."
"Customer redirected to Mollie","Client redirecționat către Mollie"
"Customer with id ""%1"" does not exist.","Clientul cu id ""%1"" nu există."
"CVC/CVV","CVC/CVV"
"Date of Birth is not enabled in the customer address settings. This is required for IN3. Please enable this in Stores > Configuration > Customers > Customer Configuration > Name and Address Options > Show Date of Birth. Please be also aware that this needs to be available in the checkout.","Data nașterii nu este activată în setările adresei clientului. Aceasta este necesară pentru IN3. Activați această opțiune în Magazine > Configurare > Clienți > Configurare clienți > Opțiuni nume și adresă > Afișare dată naștere. Rețineți că aceasta trebuie să fie disponibilă și la finalizarea comenzii."
"Days","Zile"
"Days to expire","Zile până la expirare"
"Dear %name,","Dragă %name,"
"Debug","Depanează"
"Debug & Logging","Depanare și jurnalizare"
