"Check last 100 debug log records","Skontrolujte posledných 100 záznamov ladenia (debug logov)"
"Run Self-test","Spustiť automatický test"
"Check for latest versions","Skontrolujte najnovšie verzie"
"Test Apikey","Otestovať API kľúč"
"Self Test","Automatický test"
"Payment Fee","Transakčný poplatok"
"The latest status from Mollie has been retrieved","Najnovší stav z Mollie bol načítaný"
"We cancelled order %1, created this order and marked it as complete.","Zrušili sme objednávku %1, vytvorili novú a označili ju ako dokončenú."
"Warning: We recommend to install the Mollie extension using Composer, currently it's installed in the app/code folder.","Upozornenie: Odporúčame nainštalovať rozšírenie Mollie pomocou Composeru, momentálne je nainštalované v priečinku app/code."
"The payment reminder email was successfully send","E-mail s pripomienkou platby bol úspešne odoslaný"
"Log is empty","Log je prázdny"
"The payment reminder has been removed","Pripomienka platby bola odstránená"
"The selected payment reminders have been removed","Vybrané pripomienky platieb boli odstránené"
"Pending Payment Reminders","Pripomenutie čakajúcich platieb"
"The payment reminder for order #%1 has been sent","Pripomienka platby pre objednávku #%1 bola odoslaná"
"The payment reminder for %1 order(s) has been sent","Pripomienka platby pre %1 objednávku(y) bola odoslaná"
"Sent Payment Reminders","Odoslané pripomienky k platbe"
"Invalid return, missing order id.","Neplatný návrat, chýba ID objednávky."
"Invalid return from Mollie.","Neplatný návrat z Mollie."
"There was an error checking the transaction status.","Pri kontrole stavu transakcie došlo k chybe."
"Transaction failed. Please verify your billing information and payment method, and try again.","Transakcia zlyhala. Skontrolujte, prosím, svoje fakturačné údaje a spôsob platby a skúste to znova."
"Payment canceled, please try again.","Platba bola zrušená, skúste to znova."
"Payment Method not found","Metóda platby nebola nájdená"
"Canceled because an error occurred while redirecting the customer to Mollie","Zrušené z dôvodu chyby pri presmerovaní zákazníka na Mollie"
"A Timeout while connecting to %1 occurred, this could be the result of an outage. Please try again or select another payment method.","Pri pripájaní k %1 došlo k vypršaniu časovému limitu, čo môže byť spôsobené výpadkom služby. Skúste to znova alebo zvoľte iný spôsob platby."
"The required payment token is not available","Požadovaný platobný token nie je k dispozícii"
"The payment token %1 does not exists","Platobný token %1 neexistuje"
"Payment cancelled, please try again.","Platba bola zrušená, skúste to znova."
"The field ""payment_token"" is required for this request","Vyplnenie poľa „payment_token“ je pre túto požiadavku povinné"
"Mollie API client for PHP is not installed, for more information about this issue see our %1 page.","Mollie API klient pre PHP nie je nainštalovaný. Viac informácií o tomto probléme nájdete na našej stránke %1."
"Mollie API client for PHP is not installed, for more information about this issue see: %1","Mollie API klient pre PHP nie je nainštalovaný, viac informácií o tomto probléme nájdete tu: %1"
"The order was canceled","Objednávka bola zrušená"
"The order was canceled, reason: payment %1","Objednávka bola zrušená, dôvod: platba %1"
"Test API-key: Empty value","Test API kľúča: Prázdna hodnota"
"Test API-key: Should start with ""test_""","Test API kľúča: Mal by začínať na ""test_"""
"Enabled Methods: None, Please enable the payment methods in your Mollie dashboard.","Povolené metódy: Žiadne. Povolené spôsoby platby nastavte vo svojom Mollie Dashboard."
"Enabled Methods","Povolené metódy"
"Test API-key: Success!","Test API kľúča: Úspešné!"
"Test API-key: %1","Testujte API kľúč: %1"
"Live API-key: Empty value","Live API kľúč: Prázdna hodnota"
"Live API-key: Should start with ""live_""","Live API kľúč: Mal by začínať na „live_“"
"Enabled Methods: %1","Povolené metódy: %1"
"Live API-key: Success!","Live API kľúč: Úspešné!"
"Live API-key: %1","Live API kľúč: %1"
"Error: The client requires PHP version >= %1, you have %2.","Chyba: Klient vyžaduje PHP verziu >= %1, vy máte %2."
"Success: PHP version: %1.","Úspech: PHP verzia: %1."
"Error: PHP extension JSON is not enabled.","Chyba: PHP rozšírenie JSON nie je povolené."
"Please make sure to enable ""json"" in your PHP configuration.","Prosím, uistite sa, že ste povolili ""JSON"" vo svojej PHP konfigurácii."
"Success: JSON is enabled.","Úspech: JSON je povolený."
"Error: Mollie CompatibilityChecker not found.","Chyba: Mollie CompatibilityChecker nebol nájdený."
