"""%1"" does not implement %1","""%1"" ne implementira %1"
"%1 hours","%1 ure"
"%1 using Voucher, %2 direct.","%1 z uporabo Vavčerja, %2 neposredno."
"-- Please Select --","-- Prosimo, izberite --"
"-- Use Default --","-- Uporabi privzeto --"
"1 hours","1 ura"
"30 days","30 dni"
"7 days","7 dni"
"<strong>Autodetect:</strong> Let Mollie detect the locale depending on the user. However, the locale from the current store view is used when using the Orders API for the used payment method.<br>
<strong>Store Locale</strong>: Use the locale active in the current store or fall back to English if this can't be determined.","<strong>Samodejno zaznavanje:</strong> Mollie samodejno zazna jezik glede na uporabnika. Pri uporabi API-ja za naročila pa se uporabi jezik trenutnega pogleda trgovine za izbrano plačilno metodo.<br>
<strong>Jezik trgovine</strong>: Uporabi jezik, ki je aktiven v trenutni trgovini, ali pa se vrne na angleščino, če tega ni mogoče določiti."
"<strong>Description:</strong> Order #%order_id from %store_name","<strong>Opis:</strong> Naročilo #%order_id iz %store_name"
"<strong>Optional:</strong> Comma-separated list of email addresses. Leave empty to disable.","<strong>Neobvezno:</strong> Seznam e-poštnih naslovov, ločenih z vejico. Pustite prazno, da onemogočite."
"[TEST] An error occured","[TEST] Prišlo je do napake"
"A Timeout while connecting to %1 occurred, this could be the result of an outage. Please try again or select another payment method.","Prišlo je do časovne omejitve pri povezovanju z %1, kar bi lahko bilo posledica izpada. Prosimo, poskusite znova ali izberite drug način plačila."
"Actions","Dejanja"
"Activating this option allows you to place the Apple Pay button directly on the product detail pages for a faster checkout.","Aktivacija te možnosti vam omogoča, da gumb Apple Pay postavite neposredno na strani s podrobnostmi izdelka za hitrejši zaključek nakupa."
"Active","Aktivno"
"Add cookie","Dodaj piškotek"
"Add Link to Payment Details","Dodaj povezavo v podrobnosti plačila"
"Add money","Dodajte denar"
"Add reference column to transactions grid","Dodaj stolpec za referenco v mrežo transakcij"
"Advanced","Napredno"
"Advanced: PWA storefront integration","Napredno: PWA vmesnik trgovine"
"Alias / query param","Vzdevek / parameter poizvedbe"
"Allow orders to be marked as paid manually?","Dovoliti ročno označevanje naročil kot plačanih?"
"Alma","Alma"
"An authorized payment is a guaranteed amount, yet authorizations are generally not meant to remain open for a longer period. The exact allowed authorization for %1 is <strong>%2</strong>","Odobreno plačilo je zagotovljen znesek, vendar odobritve v splošnem niso namenjene temu, da ostanejo odprte daljše obdobje. Natančno dovoljeno obdobje odobritve za %1 je <strong>%2</strong>"
"An authorized payment is a guaranteed amount, yet authorizations are generally not meant to remain open for a longer period. The exact allowed authorization window depends on the type of card your customer used.","Odobreno plačilo je zagotovljen znesek, vendar odobritve v splošnem niso namenjene temu, da ostanejo odprte daljše obdobje. Natančno dovoljeno obdobje odobritve je odvisno od vrste kartice, ki jo je uporabil vaš stranka."
"Anonymize debug requests","Anonimiziraj zahteve za odpravljanje napak"
"API Details","Podrobnosti API"
"Api key not found","API ključ ni bil najden"
"ApiKeyFallback with id ""%1"" does not exist.","ApiKeyFallback z ID ""%1"" ne obstaja."
"Apple Pay","Apple Pay"
"Apple Pay Direct","Apple Pay Direct"
"Are you sure you want to delete selected items?","Ali ste prepričani, da želite izbrisati izbrane izdelke?"
"Are you sure you want to do this? This will cancel the current order and create a new one that is marked as payed.","Ali ste prepričani, da to želite narediti? To bo preklicalo trenutno naročilo in ustvarilo novo, ki je označeno kot plačano."
"Are you sure you want to remove this saved card?","Ste prepričani, da želite odstraniti to shranjeno kartico?"
"Autocapture","Samodejna zajema"
"Autodetect","Samodejno zaznavanje"
"Automatically Send Second Chance Emails","Samodejno pošlji e-poštne opomine druge priložnosti"
"Bancomat Pay","Bancomat Pay"
"Bancontact","Bancontact"
"Banktransfer","Bančno nakazilo"
"Belfius","Belfius"
"Billie","Billie"
"Bizum","Bizum"
"Black","Črna"
"Blik","Blik"
"Book","Knjiga"
"Branding","Blagovna znamka"
"Buy","Kupite"
"Buy Now Button Style","Slog gumba Kupi zdaj"
"Buy Now Button Type","Tip gumba Kupi zdaj"
"Cancel order on checkout return","Prekliči naročilo ob vrnitvi iz blagajne"
