"""%1"" does not implement %1","""%1"" implementerar inte %1"
"%1 hours","%1 timmar"
"%1 using Voucher, %2 direct.","%1 använder Kupong, %2 direkt."
"-- Please Select --","-- Vänligen välj --"
"-- Use Default --","-- Använd standard --"
"1 hours","1 timme"
"30 days","30 dagar"
"7 days","7 dagar"
"<strong>Autodetect:</strong> Let Mollie detect the locale depending on the user. However, the locale from the current store view is used when using the Orders API for the used payment method.<br>
<strong>Store Locale</strong>: Use the locale active in the current store or fall back to English if this can't be determined.","<strong>Autodetect:</strong> Låt Mollie identifiera språkinställningen automatiskt baserat på användaren. Det aktuella butiksvisningens språk används dock när Orders API används för den valda betalningsmetoden.<br>
<strong>Butikens språk</strong>: Använd det aktiva språket i den aktuella butiken eller återgå till engelska om det inte kan fastställas."
"<strong>Description:</strong> Order #%order_id from %store_name","<strong>Beskrivning:</strong> Beställning #%order_id från %store_name"
"<strong>Optional:</strong> Comma-separated list of email addresses. Leave empty to disable.","<strong>Valfritt:</strong> Kommaseparerad lista med e-postadresser. Lämna tomt för att inaktivera."
"[TEST] An error occured","[TEST] Ett fel uppstod"
"A Timeout while connecting to %1 occurred, this could be the result of an outage. Please try again or select another payment method.","Ett timeout inträffade när %1 skulle anslutas, detta kan vara resultatet av ett driftstopp. Vänligen försök igen eller välj en annan betalningsmetod."
"Actions","Åtgärder"
"Activating this option allows you to place the Apple Pay button directly on the product detail pages for a faster checkout.","Genom att aktivera det här alternativet kan du placera Apple Pay-knappen direkt på produktdetaljsidorna för en snabbare utcheckning."
"Active","Aktiv"
"Add cookie","Lägg till cookie"
"Add Link to Payment Details","Lägg till länk till betalningsuppgifter"
"Add money","Lägg till pengar"
"Add reference column to transactions grid","Lägg till referenskolumn i transaktionsöversikten"
"Advanced","Avancerat"
"Advanced: PWA storefront integration","Avancerat: PWA Storefront Integration"
"Alias / query param","Alias / frågeparameter"
"Allow orders to be marked as paid manually?","Tillåt att beställningar markeras som betalda manuellt?"
"Alma","Alma"
"An authorized payment is a guaranteed amount, yet authorizations are generally not meant to remain open for a longer period. The exact allowed authorization for %1 is <strong>%2</strong>","En auktoriserad betalning är ett garanterat belopp, men auktoriseringar är i allmänhet inte avsedda att förbli öppna under en längre period. Den exakta tillåtna auktoriseringstiden för %1 är <strong>%2</strong>"
"An authorized payment is a guaranteed amount, yet authorizations are generally not meant to remain open for a longer period. The exact allowed authorization window depends on the type of card your customer used.","En auktoriserad betalning är ett garanterat belopp, men auktoriseringar är i allmänhet inte avsedda att förbli öppna under en längre period. Den exakta tillåtna auktoriseringstiden beror på vilken typ av kort din kund använde."
"Anonymize debug requests","Anonymisera felsökningsförfrågningar"
"API Details","API-detaljer"
"Api key not found","API-nyckel kunde inte hittas"
"ApiKeyFallback with id ""%1"" does not exist.","ApiKeyFallback med id ""%1"" finns inte."
"Apple Pay","Apple Pay"
"Apple Pay Direct","Apple Pay Direkt"
"Are you sure you want to delete selected items?","Är du säker på att du vill ta bort de valda objekten?"
"Are you sure you want to do this? This will cancel the current order and create a new one that is marked as payed.","Är du säker på att du vill göra detta? Detta kommer att avbryta den aktuella beställningen och skapa en ny som markeras som betald."
"Are you sure you want to remove this saved card?","Är du säker på att du vill ta bort det här sparade kortet?"
"Autocapture","Automatisk debitering"
"Autodetect","Autodetekt?"
"Automatically Send Second Chance Emails","Skicka Automatiskt Andra Chansen E-post"
"Bancomat Pay","Bancomat Pay"
"Bancontact","Bancontact"
"Banktransfer","Banköverföring"
"Belfius","Belfius"
"Billie","Billie"
"Bizum","Bizum"
"Black","Svart"
"Blik","Blik"
"Book","Bok"
"Branding","Varumärkesprofilering"
"Buy","Köp"
"Buy Now Button Style","Köp nu-knappsstil"
"Buy Now Button Type","Köp nu-knappstyp"
"Cancel order on checkout return","Avbryt beställning vid återgång från utcheckning"
"Cancel order when connection fails","Avbryt beställning när anslutningen misslyckas"
"Canceled because an error occurred while redirecting the customer to Mollie","Avbruten eftersom ett fel uppstod när kunden skulle omdirigeras till Mollie"
"Capture Before","Debitera innan"
"Capture delay","Debiteringsfördröjning"
"Capture delay unit","Enhet för debiteringsfördröjning"
"Capture expiration window","Tidsfönster för debiteringsutgång"
"Capture for order %1","Debitering för beställning %1"
"Capture method","Debiteringsmetod"
"Card","Kort"
"Card ending in %1","Kort som slutar på %1"
"Card Number","Kortnummer"
"Category","Kategori"
"Check for latest versions","Kontrollera de senaste versionerna"
"Check last 100 debug log records","Kontrollera de senaste 100 felsökning-loggposterna"
"Check out","Checka ut"
"Checkout Type","Utcheckningstyp"
"Checkout Url","Utchecknings Url"
"Class Mollie\Api\MollieApiClient does not exist","Klassen Mollie\Api\MollieApiClient finns inte"
"Click here to complete your payment","Klicka här för att slutföra din betalning"
"Click here to pay","Klicka här för att betala"
"Close","Stäng"
"Complete your payment from %store_name","Slutför din betalning till %store_name"
"Consent text","Samtyckestext"
"Contains logs, config, and environment metadata. Sensitive values (encryption key, passwords, API keys) are redacted.","Innehåller loggar, konfiguration och miljömetadata. Känsliga värden (krypteringsnyckel, lösenord, API-nycklar) är borttagna."
"Contribute","Bidra"
"Cookie name","Cookienamn"
"Cookies captured at checkout submission. The raw cookie value is forwarded as-is under the given alias as a query parameter on the Mollie redirect URL, and persisted on the success page so JavaScript on that page can read it.","Cookies som hämtas vid utcheckningsifyllnad. Det råa cookievärdet vidarebefordras oförändrat under det angivna aliaset som en frågeparameter i Mollies omdirigerings-URL och sparas på framgångssidan så att JavaScript på den sidan kan läsa det."
"Copy","Kopiera"
"Could not acquire lock for quote ID: %1","Kunde inte förvärva lås för offert-ID: %1"
"Could not delete the ApiKeyFallback: %1","Kunde inte ta bort ApiKeyFallback: %1"
"Could not delete the Customer: %1","Kunde inte radera kunden: %1"
"Could not delete the PaymentToken: %1","Kunde inte radera betalningsToken: %1"
"Could not delete the PendingPaymentReminder: %1","Kunde inte radera uteståendeBetalningsPåminnelse: %1"
"Could not delete the SentPaymentReminder: %1","Kunde inte radera SkickadeBetalningsPåminnelse: %1"
"Could not delete the TransactionToOrder: %1","Kunde inte ta bort TransaktionenFörBeställning: %1"
"Could not save Order Lines. Error: order line not found","Kunde inte spara orderlinjer. Fel: orderlinje hittades inte"
"Could not save Order Lines. Error: sku's do not match","Kunde inte spara beställningslinjer. Fel: SKU:n matchar inte"
"Could not save the apiKeyFallback: %1","Kunde inte spara apiKeyFallback: %1"
"Could not save the Mollie customer: %1","Kunde inte spara Mollie kunden: %1"
"Could not save the paymentToken: %1","Kunde inte spara betalningsToken: %1"
"Could not save the pendingPaymentReminder: %1","Kunde inte spara den uteståendeBetalningsPåminnelsen: %1"
